ID,英文名稱,中文名稱,圖片,中國大陸譯名,國籍,專長,生歿年,更新日期
3540841,"Handley, Vernon",韓德雷,,汉德利,英國,指揮,1930-2008,2018-05-30
3540842,"Hannikainen, Tauno",韓尼凱能,,汉尼凯宁,芬蘭,指揮；大提琴,1896-1968,2018-05-30
3540843,"Hanon, Charles Louis",哈農,,阿农,法國,鋼琴,1820-1900,2018-05-30
3540844,"Hanslick, Eduard",漢斯利克,,汉斯立克,奧地利,音樂美學,1825-1904,2018-05-30
3540845,"Hanson, Howard",漢森,,汉森,美國,作曲；指揮,1896-1981,2018-05-30
3540846,"Hanuš, Jan",哈努斯,,哈努什,捷克,作曲,1915-2004,2018-05-30
3540847,"Harada, Kochiro",原田幸一郎,,原田幸一郎,日本,小提琴；指揮,1945-,2018-05-30
3540848,"Harbison, John",哈比森,,哈比森,美國,作曲,1938-,2018-05-30
3540849,"Harnoncourt, Nikolaus",哈農庫特,,哈农库特,德國,指揮；音樂學,1929-,2018-05-30
3540850,"Harper, Heather",哈普爾，黑瑟,,哈泼，希瑟,愛爾蘭,女高音,1930-,2018-05-30
3540851,"Harrell, Lynn",哈瑞爾,,哈勒尔,美國,大提琴,1944-,2018-05-30
3540852,"Harris, Roy",哈里斯，羅伊,,哈里斯,美國,作曲,1898-1979,2018-05-30
3540853,"Harrison, Beatrice",哈里森，畢翠絲,,哈里森，比阿特里斯,英國,大提琴,1893-1965,2018-05-30
3540854,"Harsanyi, Tibor",哈尚尼,,哈尔桑尼,匈牙利,作曲,1898-1954,2018-05-30
3540855,"Hartmann, Karl Amadeus",哈特曼，卡爾,,哈特曼,德國,作曲,1905-1963,2018-05-30
3540856,"Hasanova, Rahilja",哈薩諾娃,,哈萨诺娃,阿塞拜疆,作曲,1951-,2018-05-30
3540857,"Haskil, Clara",哈絲姬爾,,哈斯姬尔,羅馬尼亞,鋼琴家,1895-1960,2018-05-30
3540858,"Hayakawa, Masaaki",早川正昭,,早川正昭,日本,作曲；指揮,1934-,2018-05-30
3540859,"Hayashi, Hikaru",林光,,林光,日本,作曲,1931-2012,2018-05-30
3540860,"Haydn, Franz Joseph",海頓，法蘭茲約瑟夫,,海顿,奧地利,作曲,1732-1809,2018-05-30
3540861,"Haydn, Michael",海頓，米凱耶,,海顿，哈伊尔,奧地利,作曲,1737-1806,2018-05-30
3540862,"Heger, Robert",黑格,,黑格尔,德國,作曲；指揮,1886-1978,2018-05-30
3540863,"Heifetz, Jascha",海飛茲,,海费兹,美國,小提琴,1901-1987,2018-05-30
3540864,"Heininen, Paavo",海尼能,,海尼宁,芬蘭,作曲,1938-,2018-05-30
3540865,"Helffer, Claude",艾爾佛,,埃尔佛,法國,鋼琴,1922-2004,2018-05-30
3540866,"Heller, Stephen",黑勒，史提芬,,黑勒，斯蒂芬,匈牙利,鋼琴；作曲,1813-1888,2018-05-30
3540867,"Hellmesberger, Georg",黑梅斯貝爾格，葛歐格,,黑尔梅斯贝尔格，盖奥尔格,奧地利,小提琴；作曲,1800-1873,2018-05-30
3540868,"Hellmesberger, Joseph",黑梅斯格貝爾格，約瑟夫二世,,黑尔梅斯贝尔格，约瑟夫二世,奧地利,小提琴；作曲,1855-1907,2018-05-30
3540869,"Hellmesberger, Joseph",黑梅斯貝爾格，約瑟夫一世,,黑尔梅斯贝尔格，约瑟夫一世,奧地利,小提琴；指揮,1828-1893,2018-05-30
3540870,"Helmholtz, Hermann von",黑姆赫茲,,黑尔姆霍尔茲,德國,音響學,1821-1894,2018-05-30
3540871,"Henschel, George",亨歇爾,,亨塞尔,英國,男中音；指揮,1850-1934,2018-05-30
3540872,"Hensel, Fanny Cecile",亨澤爾,,亨塞尔,德國,作曲,1805-1847,2018-05-30
3540873,"Henselt, Adolf von",亨澤爾特,,亨塞尔特,德國,鋼琴；作曲,1814-1889,2018-05-30
3540874,"Henze, Hans Werner",亨策,,亨策,德國,作曲；指揮,1926-2012,2018-05-30
3540875,"Herbert, Victor",赫伯特,,赫伯特,美國,作曲；大提琴,1859-1924,2018-05-30
3540876,"Herbig, Gunther",黑畢希,,赫尔比什,德國,指揮,1931-,2018-05-30
3540877,"Hernádi, Lajos",黑納迪,,海尔纳迪,匈牙利,鋼琴,1906-1980,2018-05-30
3540878,"Hérold, Ferdinand",耶羅爾德,,埃罗尔德,法國,作曲,1791-1833,2018-05-30
3540879,"Herra-Rodriguez, Luis Diego",耶拉羅德里蓋斯,,埃拉-罗德里格斯,哥斯大黎加,作曲,1952-,2018-05-30
3540880,"Herzogenberg, Heinrich von",黑厝根貝爾格,,赫措根贝格,奧地利,鋼琴；作曲,1843-1900,2018-05-30
3540881,"Hess, Myra",黑斯，麥拉,,赫斯,英國,鋼琴,1890-1965,2018-05-30
3540882,"Hétu, Jaques",耶提,,埃迪,加拿大,作曲,1938-,2018-05-30
3540883,"Heward, Leslie",希華德,,休厄德,英國,指揮；作曲,1897-1943,2018-05-30
3540884,"Hidalgo, Elvira de",伊達哥，艾薇拉,,伊达尔戈,西班牙,女高音,1892-1980,2018-05-30
3540885,"Hiller, Ferdinand",希勒，費迪南德,,希勒，费迪南德,德國,鋼琴；作曲；指揮著作,1811-1885,2018-05-30
3540886,"Hiller, Johann Adam",希勒，約翰,,希勒，约翰,德國,作曲 ；指揮,1728-1804,2018-05-30
3540887,"Himmel, Friedrich Heinrich",希梅爾,,希默尔,德國,作曲,1765-1814,2018-05-30
3540888,"Hindemith, Paul",亨德密特,,兴德米特,美國,作曲,1895-1963,2018-05-30
3540889,"Hoffman, Grace",霍夫曼，葛瑞絲,,霍夫曼，格雷斯,美國,女高音,1925-2008,2018-05-30
3540890,"Hoffman, Ludwig",霍夫曼，路德維希,,霍夫曼，路德维希,德國,鋼琴,1925-1999,2018-05-30
3540891,"Hoffmann, Karl",霍夫曼，卡爾,,霍夫曼，卡尔,捷克,小提琴,1872-1936,2018-05-30
3540892,"Hofhaymer, Paul",霍夫海莫,,霍夫海默,奧地利,作曲；管風琴,1459-1537,2018-05-30
3540893,"Hollaender, Gustav",霍連德，古斯塔夫,,霍伦德,德國,小提琴,1855-1915,2018-05-30
3540894,"Hollanda Cavalcanti, Nestorde",荷蘭達·卡瓦康悌,,荷兰达·卡瓦尔康蒂,巴西,作曲,1949-,2018-05-30
3540895,"Holliger, Heinz",霍利格,,霍利格,瑞士,作曲；雙簧管,1939-,2021-08-12
3540896,"Hollingsworth, John Ernest",霍林斯沃斯，約翰,,霍林斯沃斯,英國,指揮,1916-1963,2018-05-30
3540897,"Hollreiser, Heinrich",霍萊瑟,,霍尔莱塞尔,德國,指揮,1913-2006,2018-05-30
3540898,"Hollweg, Werner Friedrich",霍威克,,霍尔威什,德國,男高音,1936-2007,2018-05-30
3540899,"Holst, Gustav Theodore",霍爾斯特，古斯塔夫,,霍尔斯特,英國,作曲,1874-1934,2018-05-30
3540900,"Honegger, Arthur",歐內格,,奥内格,瑞士,作曲,1892-1955,2018-05-30
3540901,"Hönigsberg, David",賀尼斯貝爾格,,荷尼斯贝尔格,南非,作曲,1959-2005,2018-05-30
3540902,"Horenstein, Jascha",霍倫斯坦,,霍伦施泰因,俄國,指揮,1899-1973,2018-05-30
3540903,"Horne, Marilyn",霍恩，瑪莉蓮,,霍恩，马丽莲,美國,次女高音,1934-,2018-05-30
3540904,"Horovitz, Joseph",霍洛維茲，約瑟夫,,霍洛维兹，约瑟夫,英國,作曲；指揮；鋼琴,1926-2008,2018-05-30
3540905,"Horowitz, Vladimir",霍洛維茲，弗拉基米爾,,霍洛维兹，弗拉基米尔,美國,鋼琴,1904-1989,2018-05-30
3540906,"Horszowski, Mieczyslaw",霍佐夫斯基,,霍尔绍夫斯基,美國,鋼琴,1892-1993,2018-05-30
3540907,"Hotter, Hans",霍特,,霍特,德國,低男中音,1909-2003,2018-05-30
3540908,"Hovhaness, Alan",霍夫哈內斯,,霍夫哈内斯,美國,作曲,1911-2000,2018-05-30
3540909,"Howard, Leslie",霍華德，雷斯利,,霍华德，莱斯利,澳大利亞,鋼琴；作曲,1948-,2018-05-30
3540910,"Hristov, Dobri",赫利斯托夫,,赫利斯托夫,保加利亞,作曲,1875-1941,2018-05-30
3540911,"Hubay, Jenő",胡拜,,胡拜,匈牙利,小提琴；作曲,1858-1937,2018-05-30
3540912,"Huber, Hans",胡伯，漢斯,,胡贝尔，汉斯,瑞士,作曲,1852-1921,2018-05-30
3540913,"Huber, Klaus",胡伯，克勞斯,,胡贝尔，克劳斯,瑞士,作曲,1924-2017,2018-05-30
3540914,"Hubermann, Bronislaw",胡伯曼,,胡伯曼,波蘭,小提琴,1882-1947,2018-05-30
3540915,"Hummel, Johann Nepomuk",胡麥爾，約翰,,胡梅尔,奧地利,鋼琴；作曲,1778-1837,2018-05-30
3540916,"Humperdinck, Engelbert",胡伯定克,,洪佩尔丁克,德國,作曲,1854-1921,2018-05-30
3540917,"Huneker, James",哈尼克,,赫尼克,美國,樂評,1860-1921,2018-05-30
3540918,"Hurlebusch, Konrad Friedrich",賀勒布許,,胡勒布什,德國,作曲,ca.1696-1765,2018-05-30
3540919,"Hurst, George",賀斯特,,赫斯特,英國,指揮,1926-2012,2018-05-30
3540920,"Hurwitz, Emanuel",賀維茲,,赫尔维茲,英國,小提琴；指揮,1919-2006,2018-05-30
3540921,"Husa, Karel",胡薩,,胡萨,英國,作曲；指揮,1921-,2018-05-30
3540922,"Hüsch, Gerhard",育許,,许施,德國,男中音,1901-1984,2018-05-30
3540923,"Hüttenbrenner,Anselm",育登布倫納,,赫顿布伦纳,奧地利,作曲,1794-1868,2018-05-30
3540924,"Ibert, Jacques",伊貝爾,,伊贝尔,法國,作曲,1890-1962,2018-05-30
3540925,"Iljynski, Alexander",伊林斯基,,伊林斯基,俄國,作曲,1859-1920,2018-05-30
3540926,"Inbal, Eliahu",殷巴爾,,英巴尔,以色列,指揮,1936-,2018-05-30
3540927,"Inghelbrecht, Desire Emile",安格布列希特,,安格尔布雷什特,法國,作曲；指揮,1880-1965,2018-05-30
3540928,"Ippolitov-Ivanov, Michail Michailovich",伊波里托夫－伊凡諾夫,,伊波里托夫-伊万诺夫,俄國,作曲；鋼琴,1859-1935,2018-05-30
3540929,"Ireland, John",艾爾蘭,,爱尔兰,英國,作曲,1879-1962,2018-05-30
3540930,"Isaac, Heinrich",伊薩克,,伊萨克,德國,作曲,ca.1450-1517,2018-05-30
3540931,"Isserlis, Julius",伊瑟利斯，尤利烏斯,,伊色利斯，尤利乌斯,俄國,鋼琴,1889-1968,2018-05-30
3540932,Isserlis，Steven,伊色利斯，史蒂芬,,伊色利斯，史蒂芬,英國,大提琴家,1958-,2018-05-30
3540933,"Istomin, Eugene",伊斯托敏,,伊斯托明,美國,鋼琴,1925-2003,2018-05-30
3540934,"Iturbi, Jose",伊杜爾比,,伊图比,西班牙,鋼琴；指揮,1895-1980,2018-05-30
3540935,"Ivanovs, Janis",伊凡諾夫斯,,伊凡诺夫斯,拉托維亞,作曲,1906-1983,2018-05-30
3540936,"Ives, Charles",艾伍士,,艾夫斯,美國,作曲,1874-1954,2018-05-30
3540937,"Iwaki, Hiroyuki",岩城宏之,,岩城宏之,日本,指揮,1932-2006,2018-05-30
3540938,"Jacquet de la Guerre, Elisabeth",德拉格爾,,雅凯·德·拉·盖尔,法國,作曲,1665-1729,2018-05-30
3540939,"Jalas, Jussi",雅拉斯,,雅拉斯,芬蘭,指揮,1908- 1985,2018-05-30
3540940,"Janáček, Leoš",雅納捷克,,雅那切克,捷克,作曲,1854-1928,2018-05-30
3540941,"Janigro, Antonio",雅尼格洛,,雅尼格罗，安东尼奥,義大利,大提琴；指揮,1918-1989,2018-05-30
3540942,"Janowitz, Gundula",雅諾維次,,雅诺维茨,德國,女高音,1939-,2018-05-30
3540943,"Janowski, Marek",雅諾夫斯基,,雅诺夫斯基,波蘭,指揮,1940-,2018-05-30
3540944,"Jansen, Jacques",冉森,,让森,法國,男中音,1913-2002,2018-05-30
3540945,"Janssen, Werner",簡森,,詹森,美國,指揮；作曲,1899-1990,2018-05-30
3540946,"Jarecki, Tadeusz",雅雷茨基,,雅雷茨基,烏克蘭,作曲,1889-1955,2018-05-30
3540947,"Järnefelt, Armes",耶內菲爾特,,雅内菲尔特,瑞典,指揮；作曲,1869-1958,2018-05-30
3540948,"Jaubert, Maurice",若伯,,若贝尔,法國,作曲,1900-1940,2018-05-30
3540949,"Jelinek, Hanns",耶利內克,,耶利内克,奧地利,作曲,1901-1969,2018-05-30
3540950,"Jemnitz, Sandor",傑姆尼茲,,耶姆尼茨,匈牙利,作曲,1890-1963,2018-05-30
3540951,"Jensen, Adolf",顏森,,延森,德國,作曲,1837-1879,2018-05-30
3540952,"Jeritza, Maria",耶莉查,,耶里察,捷克,女高音,1887-1982,2018-05-30
3540953,"Jirak, Karel",易拉克,,伊拉克,捷克,作曲；指揮,1891-1972,2018-05-30
3540954,"Joachim, Joseph",姚阿幸,,约阿希姆,匈牙利,小提琴；作曲,1831-1907,2018-05-30
3540955,"Jochum, Eugen",約胡姆,,约胡姆,德國,指揮,1902-1987,2018-05-30
3540956,"Johannesen, Grant",約翰尼森,,约翰内森,美國,鋼琴,1921-2005,2018-05-30
3540957,"Johansen, David Monrad",約翰森,,约翰森,挪威,作曲；樂評,1888-1974,2018-05-30
3540958,"Jolivet, André",若利維,,若利韦,法國,作曲,1905-1974,2018-05-30
3540959,"Jones, Gwyneth",瓊斯，桂娜絲,,琼斯，桂纳什,英國,女高音,1936-,2018-05-30
3540960,"Jongen, Joseph",容根，約瑟夫,,容根，约瑟夫,比利時,作曲,1873-1953,2018-05-30
3540961,"Jongen, Leon",容根，雷昂,,容根，雷昂,比利時,作曲；鋼琴,1884-1969,2018-05-30
3540962,"Joplin, Scott",喬普林,,乔普林,美國,作曲,1868-1917,2018-05-30
3540963,"Jordá, Enrique",霍爾達,,霍尔达,美國,指揮,1911-1996,2018-05-30
3540964,"Josquin des Préz (Desprez, Josquin)",若斯坎(德普瑞),,若斯坎·德·普瑞,法國,作曲,ca.1440-1521,2018-05-30
3540965,"Joubert, John",朱伯特,,祖伯特,南非,作曲,1927-,2018-05-30
3540966,"Journet, Marcel",朱內,,茹尔内,法國,男低音,1870-1933,2018-05-30
3540967,"Joyce, Eileen",喬伊絲,,乔伊斯,澳大利亞,鋼琴,1912-1991,2018-05-30
3540968,"Judd, Terence",賈德,,贾德,英國,鋼琴,1957-1979,2018-05-30
3540969,"Jurinac, Sena",尤莉娜茲,,尤丽娜兹,奧地利籍克羅埃西亞裔,女高音,1921-2011,2018-05-30
3540970,"Kabalevsky, Dimitry",卡巴列夫斯基,,卡巴列夫斯基,俄國,作曲,1904-1987,2018-05-30
3540971,"Kabeláč,Miloslav",卡貝拉奇,,卡贝拉,捷克,作曲,1908-1979,2018-05-30
3540972,"Kacso, Diana",卡索,,卡索,巴西,鋼琴,1953-,2018-05-30
3540973,"Kadoša, Pál",卡朵沙,,卡多沙,匈牙利,作曲；鋼琴,1903-1983,2018-05-30
3540974,"Kajanus, Robert",卡亞努斯,,卡亚努斯,芬蘭,指揮；作曲,1856-1933,2018-05-30
3540975,"Kalichststein, Joseph",卡利希斯坦,,卡利什斯坦,以色列,鋼琴,1946-,2018-05-30
3540976,"Kalinnikov, Vasily",卡林尼科夫,,卡林尼科夫,俄國,作曲,1866-1901,2018-05-30
3540977,"Kalkbrenner, Christian","卡爾克布倫納,克里斯蒂安",,卡尔克布伦纳，克里斯蒂安,德國,作曲,1755-1806,2018-05-30
3540978,"Kalkbrenner, Frederich","卡爾克布倫納,弗里德里希",,卡尔克布伦纳，弗里德里希,法國,鋼琴；作曲,1785-1849,2018-05-30
3540979,"Kalliwoda, Johan Wenzel",卡利沃達,,卡利沃达,捷克,小提琴；指揮,1801-1866,2018-05-30
3540980,"Kamu, Okko",卡穆,,卡穆,芬蘭,指揮,1946-,2018-05-30
3540981,"Kancheli, Giya",坎切利,,坎切利,喬治亞,作曲,1935-,2018-05-30
3540982,"Kanding, Ejnar",康丁,,康丁,丹麥,作曲,1965-,2018-05-30
3540983,"Kapell, William",卡佩爾,,卡佩尔,美國,鋼琴,1922-1953,2018-05-30
3540984,"Kapr, Jan",卡普爾,,卡普尔,捷克,作曲；鋼琴,1914-1988,2018-05-30
3540985,"Karajan, Herbert von",卡拉揚,,卡拉扬,奧地利,指揮,1908-1989,2018-05-30
3540986,"Karayev, Faradj",卡拉耶夫,,卡拉耶夫,阿塞拜然,作曲,1943-,2018-05-30
3540987,"Katchen, Julius",卡欽,,卡琴,美國,鋼琴,1926-1969,2018-05-30
3540988,"Katin, Peter",凱廷,,凯廷,英國,鋼琴,1930-2015,2018-05-30
3540989,"Katz, Mȋndru",卡茨,,卡茨，门德鲁,羅馬尼亞,鋼琴,1925-1978,2018-05-30
3540990,"Kaufmann, Georg Friedrich",考夫曼,,考夫曼,德國,作曲,1679-1735,2018-05-30
3540991,"Kazandiev(Kazandjiev), Vassil",卡贊迪耶夫,,卡赞迪耶夫,保加利亞,作曲,1934-,2018-05-30
3540992,"Keilberth, Joseph",凱爾貝特,,凯尔贝特,德國,指揮,1908-1968,2018-05-30
3540993,"Keiser, Reinhard",凱瑟，萊茵哈德,,凯泽,德國,作曲,1674-1739,2018-05-30
3540994,"Kell, Reginald",凱爾，雷吉納德,,凯尔,英國,單簧管,1906-1981,2018-05-30
3540995,"Keller, Hans",凱勒，漢斯,,凯勒,英國,樂評；小提琴,1919-1985,2018-05-30
3540996,"Kempe, Rudolf",肯佩,,肯佩,德國,指揮,1910-1976,2018-05-30
3540997,"Kempen, Paul van",肯朋,,肯彭,荷蘭,指揮；小提琴,1893-1955,2018-05-30
3540998,"Kempff, Wilhelm",肯普夫,,肯普夫,德國,鋼琴；作曲,1895-1991,2018-05-30
3540999,"Kentner, Louis",肯特納,,肯特纳,英國,鋼琴,1905-1987,2018-05-30
3541000,"Kerle, Jacobus de",凱爾萊,,克勒,荷蘭,作曲；管風琴,1531-1591,2018-05-30
3541001,"Kertesz, Istvan",凱爾泰斯,,凯尔泰斯,匈牙利,指揮,1929-1973,2018-05-30
3541002,"Khachaturian, Aram",哈察圖量,,哈恰图良,蘇聯亞美尼亞,作曲,1903-1978,2018-05-30
3541003,"Khadzhiev, Parashkev",哈傑西耶夫,,哈杰耶夫,保加利亞,作曲,1913-1992,2018-05-30
3541004,"Khrennikov, Tikhon",赫連尼科夫,,赫连尼科夫,俄國,作曲；鋼琴,1913-2007,2018-05-30
3541005,"Kilpinen, Yrjö",基爾皮能,,基尔皮宁,芬蘭,作曲,1892-1959,2018-05-30
3541006,"Kinkeldey, Otto",金克第,,金克尔迪,美國,音樂學,1878-1966,2018-05-30
3541007,"Kinsky, Georg Ludwig",金斯基,,金斯基,德國,音樂學,1882-1951,2018-05-30
3541008,"Kipnis, Alexander",奇普尼斯,,基普尼斯,美國,俄裔男低音,1891-1978,2018-05-30
3541009,"Kirchner, Leon",柯希納，雷昂,,柯克纳，列昂,美國,作曲；鋼琴；指揮,1919-2009,2018-05-30
3541010,"Kirchner, Theodor",柯希納，狄奧多,,柯什纳，特奥多尔,德國,作曲,1823-1903,2018-05-30
3541011,"Kirkpatrick, Ralph",柯克派翠克，拉弗,,柯克帕特里克，拉尔夫,美國,大鍵琴；音樂學,1911-1984,2018-05-30
3541012,"Kirshbaum, Ralph",柯希鮑姆,,柯什鲍姆,美國,大提琴；指揮,1946-,2018-05-30
3541013,"Kiyose, Yasuji",清瀨保二,,清濑保二,日本,作曲,1900-1981,2018-05-30
3541014,"Kjerulf, Halfdan",謝魯爾夫,,谢鲁尔夫,挪威,作曲,1815-1868,2018-05-30
3541015,"Klecki(Kletzki), Paul",克雷茨基,,克列茨基,瑞士,指揮；作曲,1900-1973,2018-05-30
3541016,"Kleiber, Carlos",克萊伯，卡洛斯,,克莱伯，卡洛斯,奧地利,指揮,1930-2004,2018-05-30
3541017,"Kleiber, Erich",克萊伯，艾利希,,克莱伯，埃里希,奧地利,指揮,1890-1956,2018-05-30
3541018,"Klein, Gideon",克萊茵,,克莱因,捷克,作曲,1919-1945,2018-05-30
3541019,"Klemperer, Otto",克倫佩勒,,克伦佩雷尔,德國,作曲；指揮,1885-1973,2018-05-30
3541020,"Klenau, Paul von",克雷瑙,,克勒瑙,丹麥,作曲；指揮,1883-1946,2018-05-30
3541021,"Klengel, August Alexander",克連格，奧古斯特,,克伦格尔，奥古斯特,德國,鋼琴；作曲,1783-1852,2018-05-30
3541022,"Klengel, Julius",克連格，尤留斯,,克伦格尔，尤利乌斯,德國,大提琴；作曲,1859-1933,2018-05-30
3541023,"Klengel, Paul",克連格，包爾,,克伦格尔，保尔,德國,指揮；作曲,1854-1935,2018-05-30
3541024,"Klien, Walter",克林,,克利恩,奧地利,鋼琴,1928-1991,2018-05-30
3541025,"Klindworth, Karl",克林沃特,,克林德沃特,德國,鋼琴,1830-1936,2018-05-30
3541026,"Knaifel, Alexander",克奈弗,,克奈弗,烏茲別克,作曲,1943-,2018-05-30
3541027,"Knappertsbusch, Hans",克納佩次布許,,克纳佩茨布什,德國,指揮,1888-1965,2018-05-30
3541028,"Kneisel, Franz",克奈澤,,克奈塞尔,德國,小提琴；指揮,1865-1926,2018-05-30
3541029,"Knipper, Lev",克尼佩,,克尼佩尔,俄國,作曲,1898-1974,2018-05-30
3541030,"Knussen, Oliver",克努森,,克努森,英國,作曲,1952-,2018-05-30
3541031,"Kobbe, Gustav",柯畢,,科贝,美國,音樂著作,1857-1918,2018-05-30
3541032,"Köchel, Ludwig von",柯歇爾,,克歇尔,奧地利,音樂目錄學,1800-1877,2018-05-30
3541033,"Kocián, Jaroslav",柯齊安,,科齐安,捷克,小提琴,1883-1950,2018-05-30
3541034,"Kodály, Zoltán",柯大宜,,科达伊,匈牙利,作曲；民族音樂學；教育,1882-1967,2018-05-30
3541035,"Koechlin, Charles",柯克蘭,,克什兰,法國,作曲,1867-1950,2018-05-30
3541036,"Kogan, Leonid",柯岡,,科冈,俄國,小提琴,1924-1982,2018-05-30
3541037,"Kohler, Christian Louis Heinrich",柯勒,,科勒,德國,鋼琴；作曲,1820-1886,2018-05-30
3541038,"Kokkonen, Joonas",柯克能,,科科宁,芬蘭,作曲,1921-1996,2018-05-30
3541039,"Kollo, René",柯洛,,科洛,德國,男高音,1937-,2018-05-30
3541040,"Komitas, Sogomon",柯米塔斯,,科米塔斯,土耳其,作曲,1869-1935,2018-05-30
3541041,"Kondrashin, Kyrill",孔德拉辛,,孔德拉申,俄國,指揮,1914-1981,2018-05-30
3541042,"Konoe, Hidemaro",近衛秀磨,,近卫秀磨,日本,作曲,1889-1973,2018-05-30
3541043,"Konwitschny, Franz",孔維奇尼,,孔维奇尼,德國,指揮,1901-1962,2018-05-30
3541044,"Korchinska, Maria",柯欽絲卡,,科尔钦斯卡,俄國,豎琴,1895-1979,2018-05-30
3541045,"Korngold, Erich Wolfgang",康戈爾德,,康戈尔德,美國,作曲；指揮,1897-1957,2018-05-30
3541046,"Košler, Zdenek",柯希勒,,科什勒,捷克,指揮,1928-1995,2018-05-30
3541047,"Kostelanetz, Andre",柯斯特拉內次,,科斯特拉内茨,美國,指揮,1901-1980,2018-05-30
3541048,"Koussevitzky, Sergei",庫謝維茲基,,库塞维茲基,美國,指揮,1874-1951,2018-05-30
3541049,"Kovacevich, Stephen",柯瓦采维奇,,科瓦采维奇,美國,鋼琴,1940-,2018-05-30
3541050,"Kowssler, Hans",寇斯勒,,考斯勒,德國,作曲,1853-1926,2018-05-30
3541051,"Koyama, Kiyoshige",小山清茂,,小山清茂,日本,作曲,1914-2009,2018-05-30
3541052,"Kozeluh, Jan Evangelista Antonin",柯策魯，安東尼,,科泽鲁赫，扬,捷克,作曲,1738-1814,2018-05-30
3541053,"Kozeluh, Leopold",柯策魯，雷歐波德,,科泽鲁赫，列欧波德,捷克,作曲,1747-1818,2018-05-30
3541054,"Kraft, Anton",克拉夫特，安東,,克拉夫特，安东,奧地利,大提琴；作曲,1749-1820,2018-05-30
3541055,"Kraft, Nicolaus",克拉夫特，尼克勞斯,,克拉夫特，尼古劳斯,匈牙利,大提琴；作曲,1778-1853,2018-05-30
3541056,"Krasner, Louis",克拉斯納,,克拉斯纳,美國,小提琴,1903-1995,2018-05-30
3541057,"kraus, Alfredo",克勞斯，阿弗列多,,克劳斯，阿尔弗雷多,西班牙,男高音,1927-1999,2018-05-30
