ID,英文名稱,中文名稱,圖片,場所標示類別,備註,更新日期
1506257,Dentistry Clinic,牙科門診,,醫療場所,,2012-11-26
1506258,Birth Certificates,出生証明書,,醫療場所,,2012-11-26
1506259,Health Insurance Application,加退保申請,,醫療場所,,2012-11-26
1506260,Mail Room,包裹信件處理室,,醫療場所,,2012-11-26
1506261,Bulk Product Room,半製品室,,醫療場所,,2012-11-26
1506262,Surgical Clinic,外科門診,,醫療場所,,2012-11-26
1506263,Surgical Ward,外科病房,,醫療場所,,2012-11-26
1506264,Unlisted Items Application,未列項目申請作業,,醫療場所,,2012-11-26
1506265,Biologicals Testing Area,生物製劑試驗區,,醫療場所,,2012-11-26
1506266,Physiology Examination Room,生理檢查室,,醫療場所,,2012-11-26
1506267,Thyroid / General,甲狀腺/一般,,醫療場所,,2012-11-26
1506268,Recovery Room,休養室,,醫療場所,,2012-11-26
1506269,TPN Preparation Room,全營養調配室,,醫療場所,,2012-11-26
1506270,Critical Examination Room,危險性特殊檢查室,,醫療場所,,2012-11-26
1506271,Medication and Injection,吃藥及注射室,,醫療場所,,2012-11-26
1506272,Ampoule Labeling Room,安瓿印字室,,醫療場所,,2012-11-26
1506273,Hospice,安寧房,,醫療場所,,2012-11-26
1506274,Adult Psychiatric Day Care Center,成人日間病房,,醫療場所,,2012-11-26
1506275,Early Intervention Clinic,早期療癒,,醫療場所,,2012-11-26
1506276,Soiled Linens Room,污衣室(間),,醫療場所,,2012-11-26
1506277,Geriatric Psychiatric Day Care Center,老人日間照護中心/老人日間病房,,醫療場所,,2012-11-26
1506278,Electromyography (EMG) Room,肌電圖室,,醫療場所,,2012-11-26
1506279,Reimbursements,自墊醫療費用核退,,醫療場所,,2012-11-26
1506280,Hematology Laboratory,血液室,,醫療場所,,2012-11-26
1506281,Serology Laboratory,血清室,,醫療場所,,2012-11-26
1506282,Angiography Room,血管攝影室,,醫療場所,,2012-11-26
1506283,Pharmaceutical Dispensary,西藥領藥窗,,醫療場所,,2012-11-26
1506284,Inpatient Pharmaceutical Dispensary,住院領藥窗口,,醫療場所,,2012-11-26
1506285,Freezer Room,冷凍冷藏室,,醫療場所,,2012-11-26
1506286,Happy Campus,快樂村,,醫療場所,,2012-11-26
1506287,Antibiotics Testing Room,抗生素試驗室,,醫療場所,,2012-11-26
1506288,Cashier and Registration (Counter),批價掛號台,,醫療場所,,2012-11-26
1506289,Employers’ Services Center,投保單位服務中心,,醫療場所,,2012-11-26
1506290,Gastroenterology Clinic (GI),肝膽腸胃科門診/一般,,醫療場所,,2012-11-26
1506291,Mental Health Clinic,身心醫學門診,,醫療場所,,2012-11-26
1506292,Preventive Medical Supplies,防疫藥品儲藏室,,醫療場所,,2012-11-26
1506293,Pre-review Counter,事前審查作業,,醫療場所,,2012-11-26
1506294,Supplies Room,供應室,,醫療場所,,2012-11-26
1506295,Child Psychiatric Day Care Center,兒童日間病房,,醫療場所,,2012-11-26
1506296,Pediatric Therapy Unit,兒童治療室,,醫療場所,,2012-11-26
1506297,Pediatric Rehabilitation Center,兒童復健,,醫療場所,,2012-11-26
1506298,Respiratory Care Ward (RCW),呼吸照護病房,,醫療場所,,2012-11-26
1506299,Home Care Application Counter,居家照護事前審查申請,,醫療場所,,2012-11-26
1506300,Home Care Office,居家護理所辦公室,,醫療場所,,2012-11-26
1506301,Underwriting Forms Processing Area,承保表件處理區,,醫療場所,,2012-11-26
1506302,Blood Collection Room (Counter) / Blood Collection Area,抽血室(台) /採血區,,醫療場所,,2012-11-26
1506303,Radiopharmaceutical Compounding,放射性製藥室,,醫療場所,,2012-11-26
1506304,Injection Room,注射室,,醫療場所,,2012-11-26
1506305,Therapy Room,治療室,,醫療場所,,2012-11-26
1506306,Special Diet Preparation Area,治療配膳區,,醫療場所,,2012-11-26
1506307,Storeroom / Storage,物料庫,,醫療場所,,2012-11-26
1506308,Community Clinic Center,社區門診中心,,醫療場所,,2012-11-26
1506309,Community Health Center,社區健康營造中心,,醫療場所,,2012-11-26
1506310,Community Rehabilitation Center,社區復建中心,,醫療場所,,2012-11-26
1506311,Community Nursing Room,社區護理室,,醫療場所,,2012-11-26
1506312,Shoulder and Neck Pain Clinic,肩頸疼痛,,醫療場所,,2012-11-26
1506313,Outpatient Clinic,門診,,醫療場所,,2012-11-26
1506314,Outpatient Claims Area,門診受理區,,醫療場所,,2012-11-26
1506315,Registration and Cashier,門診掛號批價處,,醫療場所,,2012-11-26
1506316,OPD Dispensing (Counter),門診調劑台,,醫療場所,,2012-11-26
1506317,OPD Physical Examination Clinic,門診體檢中心,,醫療場所,,2012-11-26
1506318,Non-Trauma Area,非創傷區,,醫療場所,,2012-11-26
1506319,Health Center,保健中心,,醫療場所,,2012-11-26
1506320,Clinic,保健室,,醫療場所,,2012-11-26
1506321,Installments,保費分期攤繳,,醫療場所,,2012-11-26
1506322,Premiums Payment Certificate,保險費繳款證明核發,,醫療場所,,2012-11-26
1506323,Delivery Suite / Labor Room,待產室,,醫療場所,,2012-11-26
1506324,Emergency Ward,急性病房,,醫療場所,,2012-11-26
1506325,First Aid Station,急救站,,醫療場所,,2012-11-26
1506326,Emergency Service Building,急診大樓,,醫療場所,,2012-11-26
1506327,ER Dispensary,急診領藥處,,醫療場所,,2012-11-26
1506328,Emergency Service Laboratory,急診檢驗,,醫療場所,,2012-11-26
1506329,Postoperative Intensive Care Unit (手術) / Anesthesia Recovery Room (麻醉),恢復室,,醫療場所,,2012-11-26
1506330,Toxicity and Pharmacology Testing Area,毒理、藥理試驗區,,醫療場所,,2012-11-26
1506331,Bottle Cleaning Room,洗瓶室,,醫療場所,,2012-11-26
1506332,Vaccine Storeroom (Storage),疫苗冷藏室,,醫療場所,,2012-11-26
1506333,Science and Technology Development Center,科技發展中心,,醫療場所,,2012-11-26
1506334,Endoscopy (Room),胃鏡(室) /內視鏡(室),,醫療場所,,2012-11-26
1506335,Duplicated Payment Refunds,重複繳納保險費退費,,醫療場所,,2012-11-26
1506336,Individual Record Changes,個人基本資料變更,,醫療場所,,2012-11-26
1506337,Waiting Room,候診室,,醫療場所,,2012-11-26
1506338,Family Therapy Room,家族治療室,,醫療場所,,2012-11-26
1506339,Nuclear Medicine,核子醫學,,醫療場所,,2012-11-26
1506340,Magnetic Resonance Imaging Laboratory,核磁共振,,醫療場所,,2012-11-26
1506341,Gases Supply Room,氣體供應室,,醫療場所,,2012-11-26
1506342,Gases Storage,氣體機房,,醫療場所,,2012-11-26
1506343,Sterilization Room,消毒室/滅菌室,,醫療場所,,2012-11-26
1506344,Dryer Room,烘衣室,,醫療場所,,2012-11-26
1506345,Retained Sample Room,留樣室,,醫療場所,,2012-11-26
1506346,Patient Services,病友中心,,醫療場所,,2012-11-26
1506347,Ward,病房,,醫療場所,,2012-11-26
1506348,Inpatient Building,病房大樓,,醫療場所,,2012-11-26
1506349,Ward Nursing Station,病房護理站,,醫療場所,,2012-11-26
1506350,Patients Belongings Room,病患置物室,,醫療場所,,2012-11-26
1506351,Pathology Room,病理室,,醫療場所,,2012-11-26
1506352,Fungus Testing Room,真菌檢驗室,,醫療場所,,2012-11-26
1506353,Neurologic Examination Room,神經檢查室,,醫療場所,,2012-11-26
1506354,Chest and Smoking Cessation Clinic,胸腔/戒菸門診,,醫療場所,,2012-11-26
1506355,Spinal Injury Clinic,脊隨損傷,,醫療場所,,2012-11-26
1506356,Refunds and Payments Certificate,退費及繳費證明區,,醫療場所,,2012-11-26
1506357,Orthopaedics Clinic,骨科門診,,醫療場所,,2012-11-26
1506358,High-risk Pregnancy Clinic,高危險妊娠,,醫療場所,,2012-11-26
1506359,Hyperbaric Oxygen Dialysis Room,高壓氧洗腎室,,醫療場所,,2012-11-26
1506360,NHI IC Cards Reader,健保IC卡讀卡機,,醫療場所,,2012-11-26
1506361,NHI IC Cards Information,健保IC卡諮詢,,醫療場所,,2012-11-26
1506362,NHI Relief Funds Loan,健保紓困基金貸款,,醫療場所,,2012-11-26
1506363,Health Counseling,健康諮詢處,,醫療場所,,2012-11-26
1506364,Physical Examination Service,健康檢查服務處,,醫療場所,,2012-11-26
1506365,Physical Rehabilitation Room,動作訓練室,,醫療場所,,2012-11-26
1506366,Animal Examination Room,動物診斷室,,醫療場所,,2012-11-26
1506367,Culture Room,培養室,,醫療場所,,2012-11-26
1506368,Gynecology Ward,婦科病房,,醫療場所,,2012-11-26
1506369,Gynecology Clinic,婦科診療室,,醫療場所,,2012-11-26
1506370,Obstetrics / Gynecology Clinic,婦產科門診,,醫療場所,,2012-11-26
1506371,Recovery Home,康復之家,,醫療場所,,2012-11-26
1506372,Registration,掛號室 ,,醫療場所,,2012-11-26
1506373,HPLC Room,液相層析儀室,,醫療場所,,2012-11-26
1506374,Delivery Room,產房,,醫療場所,,2012-11-26
1506375,Maternity Ward,產科病房,,醫療場所,,2012-11-26
1506376,Ophthalmology Clinic,眼科門診,,醫療場所,,2012-11-26
1506377,"Cytology Laboratory, Ophthalmology Department",眼科特別檢查室細胞室,,醫療場所,,2012-11-26
1506378,Cytology Laboratory,細胞室,,醫療場所,,2012-11-26
1506379,Bacteria Testing Room,細菌檢驗室,,醫療場所,,2012-11-26
1506380,Linens Storage,被服庫,,醫療場所,,2012-11-26
1506381,Trauma Area,創傷區,,醫療場所,,2012-11-26
1506382,Medical Report Inquiries Area,報告查詢區,,醫療場所,,2012-11-26
1506383,First-aid Center for Radiated Injury,幅傷救護中心,,醫療場所,,2012-11-26
1506384,Physical Therapy and Rehabilitation Clinic,復健中心,,醫療場所,,2012-11-26
1506385,Rehabilitation Room,復健室,,醫療場所,,2012-11-26
1506386,Rehabilitation Clinic,復健科門診,,醫療場所,,2012-11-26
1506387,Rehabilitation Campus,復健園區,,醫療場所,,2012-11-26
1506388,Non-narcotic Materials Storeroom,普通原料庫,,醫療場所,,2012-11-26
1506389,Weight Reduction Clinic,減重門診,,醫療場所,,2012-11-26
1506390,Shortwave Diathermy Room,短波室,,醫療場所,,2012-11-26
1506391,Claiming Archives,訴追檔案室,,醫療場所,,2012-11-26
1506392,Diagnosis Certificates,診斷証明書,,醫療場所,,2012-11-26
1506393,Doppler Echocardiogram,超音波心電圖,,醫療場所,,2012-11-26
1506394,Ultrasonography Room,超音波檢驗區,,醫療場所,,2012-11-26
1506395,Evening Clinic,黃昏門診,,醫療場所,,2012-11-26
1506396,Infection Control Center,感染控制室,,醫療場所,,2012-11-26
1506397,Sensory Integration Room,感覺統合室,,醫療場所,,2012-11-26
1506398,Newborn Baby Room,新生嬰兒室,,醫療場所,,2012-11-26
1506399,Prosthetics and Orthotics,義肢/裝具,,醫療場所,,2012-11-26
1506400,Waist Traction Room,腰牽引室,,醫療場所,,2012-11-26
1506401,Peritoneal Dialysis,腹膜透析室,,醫療場所,,2012-11-26
1506402,Electroencephalographic Examination (Room),腦波檢查(室),,醫療場所,,2012-11-26
1506403,Reagents and Materials Warehouse,試藥材料庫房,,醫療場所,,2012-11-26
1506404,Treadmill Electrocardiography,運動心電圖,,醫療場所,,2012-11-26
1506405,Motor Training Room,運動訓練室,,醫療場所,,2012-11-26
1506406,Sports Medicine Clinic,運動傷害門診,,醫療場所,,2012-11-26
1506407,Play Therapy Room,遊戲教育室,,醫療場所,,2012-11-26
1506408,Laser Cosmetology Room,雷射美容室,,醫療場所,,2012-11-26
1506409,Electroshock Room,電擊室,,醫療場所,,2012-11-26
1506410,Vaccination Room,預防注射室,,醫療場所,,2012-11-26
1506411,Vaccination Hours,預防接種時間表,,醫療場所,,2012-11-26
1506412,Appointments,預約門診,,醫療場所,,2012-11-26
1506413,Chronic Diseases Counseling Room,慢性病指導室,,醫療場所,,2012-11-26
1506414,Weighing Room,稱量室,,醫療場所,,2012-11-26
1506415,Psychiatric Outpatient Ward / Psychiatric Day Care Center,精神科日間照護病房,,醫療場所,,2012-11-26
1506416,General Ward,綜合病房,,醫療場所,,2012-11-26
1506417,Speech Therapy Center,語言治療中心,,醫療場所,,2012-11-26
1506418,Mild Injury Area,輕傷區,,醫療場所,,2012-11-26
1506419,Prescription Pick-up Flow Chart,領葯程序表,,醫療場所,,2012-11-26
1506420,Specimen Room,標本室,,醫療場所,,2012-11-26
1506421,Label Room,標籤室,,醫療場所,,2012-11-26
1506422,Pyrogen Testing Room,熱原試驗觀察室,,醫療場所,,2012-11-26
1506423,Encapsulating Room,膠囊充填室,,醫療場所,,2012-11-26
1506424,Medical Supplies Storeroom,衛材庫房,,醫療場所,,2012-11-26
1506425,Health Education Hall,衛教走廊,,醫療場所,,2012-11-26
1506426,Health Education Room,衛教資料室,,醫療場所,,2012-11-26
1506427,Motor Pool,調度場,,醫療場所,,2012-11-26
1506428,X-ray Reading Room,閱(讀)片室,,醫療場所,,2012-11-26
1506429,Burn Ward,燒傷病房,,醫療場所,,2012-11-26
1506430,Burn Unit,燙傷中心,,醫療場所,,2012-11-26
1506431,Diabetes Education Room,糖尿病衛教室,,醫療場所,,2012-11-26
1506432,Tablet Room,錠劑室,,醫療場所,,2012-11-26
1506433,Neck Traction Room,頸牽引室,,醫療場所,,2012-11-26
1506434,Infant Care / Nursery Room,嬰兒室,,醫療場所,,2012-11-26
1506435,Quarantine Observation Room,檢疫隔離觀察室,,醫療場所,,2012-11-26
1506436,Inspectors’ Office / Coronor's Office,檢察官室,,醫療場所,,2012-11-26
1506437,Medical Report Consultation Area,檢驗諮詢區,,醫療場所,,2012-11-26
1506438,Specimen Storeroom / Storage,檢體儲藏室,,醫療場所,,2012-11-26
1506439,Nutrition Classroom,營養教室,,醫療場所,,2012-11-26
1506440,Nutrition Counseling Room,營養諮詢室,,醫療場所,,2012-11-26
1506441,Occupational Therapy Room,職能治療活動室,,醫療場所,,2012-11-26
1506442,Study Room,醫生研究室,,醫療場所,,2012-11-26
1506443,Physicians’ Lounge,醫師休息室,,醫療場所,,2012-11-26
1506444,Medical Administrative Office,醫務行政室,,醫療場所,,2012-11-26
1506445,Medical Management and Research Room,醫管及研究室,,醫療場所,,2012-11-26
1506446,Staff Room (Medical),醫療及保育員室,,醫療場所,,2012-11-26
1506447,Medical Forms Sales,醫療書表販售,,醫療場所,,2012-11-26
1506448,Medical Expenditure Applications,醫療費用申報收件,,醫療場所,,2012-11-26
1506449,Medical Information (Counter),醫療業務諮詢或醫療服務台,,醫療場所,,2012-11-26
1506450,Pharmaceutical Management Section,醫藥管理課,,醫療場所,,2012-11-26
1506451,Liquid Medicine Room,藥水室,,醫療場所,,2012-11-26
1506452,Pharmacy Counseling,藥物諮詢,,醫療場所,,2012-11-26
1506453,Pharmacology Room,藥理室,,醫療場所,,2012-11-26
1506454,Microscopy Room,鏡檢室,,醫療場所,,2012-11-26
1506455,Hansen's Disease Clinic,癩病門診,,醫療場所,,2012-11-26
1506456,Nursing Building,護理大樓,,醫療場所,,2012-11-26
1506457,"Examination Room, Nursing Department",護理科診間,,醫療場所,,2012-11-26
1506458,Nurses’ Office,護理辦公室,,醫療場所,,2012-11-26
1506459,Extracorporeal Shock Wave Lithotripsy,體外震波碎石室,,醫療場所,,2012-11-26
1506460,Physical Fitness Clinic,體適能門診,,醫療場所,,2012-11-26
1506461,Mycology Laboratory,黴菌室,,醫療場所,,2012-11-26
1506462,Fengtian Temple ,奉天宮,,社會福利及宗教,,2012-11-26
1506463,Shuixian Temple,水仙宮 ,,社會福利及宗教,,2012-11-26
1506464,Railway Park,鐵路公園 ,,公用設施,,2012-11-26
1506465,Incense Art Cultural Park,香藝文化園區  ,,展覽陳列區,,2012-11-26
1506466,Fu Hsing Railway Bridge ,復興鐵橋  ,,交通運輸站,,2012-11-26
1506467,Yan Sih Chi landing Memorial       ,顏思齊登陸點    ,,公用設施,,2012-11-26
1506468,Visitor  Center,遊客中心   ,,服務諮詢申訴,,2012-11-26
1506469,Bantaoyao Craft Park ,板陶窯工藝園區  ,,展覽陳列區,,2012-11-26
1506470,Gubengang Ceramic Arts Park,古笨港陶華園 ,,展覽陳列區,,2012-11-26
1506471,Dingcaiyuan Cultural Artifacts Hall,頂菜園鄉土館  ,,展覽陳列區,,2012-11-26
1506472,Visitors' Lodge,香客大樓    ,,社會福利及宗教,,2012-11-26
1506473, Parking Lot                           ,停車場                       ,,公用設施,,2012-11-26
1506474,Singang Park,新港公園,,公用設施,,2020-03-16
1506475,Railway Park,鐵支路公園,,公用設施,,2012-11-26
1506476,Dongshi County Government Building (Japanese Colonial Period),東石郡役所,,外部設施及建築,,2012-11-26
1506477,Peitian Temple,配天宮,,社會福利及宗教,,2012-11-26
1506478,Puzi Arts Park,朴子藝術公園,,公用設施,,2012-11-26
1506479,Embroidery Cultural Museum,刺繡文化館,,展覽陳列區,,2012-11-26
1506480,Dongshi Fisherman’s Wharf,東石漁人碼頭,,,,2012-11-26
1506481,Shuidaotou (Japanese Colonial Period Waterworks),水道頭,,公用設施,,2012-11-26
1506482,Peitan Temple Visitors' Lodge ,配天宮香客大樓,,社會福利及宗教,,2012-11-26
1506483,Bike Path,自行車道,,公用設施,,2012-11-26
1506484,Air Conditioning Facilities,空調機房,,機房設備及維修,,2012-11-26
1506485,Fire Equipment Room,消防機械室,,機房設備及維修,,2012-11-26
1506486,Generators,發電機室,,機房設備及維修,,2012-11-26
1506487,High-Voltage Transformer Room,高壓變電室,,機房設備及維修,,2012-11-26
1506488,Power Intake Room,台電受電室,,機房設備及維修,,2012-11-26
1506489,Piping Closet,管道間,,機房設備及維修,,2012-11-26
1506490,District Administration Data Room,區政資料室,,儲存庫房,,2012-11-26
1506491,Mediation Room ,調解室,,,,2012-11-26
1506492,VIP Lounge,貴賓休息室,,公用設施,,2012-11-26
1506493,Elevator Facilities,電梯機房,,公用設施,,2012-11-26
1506494,Control Room,控制室,,機房設備及維修,,2012-11-26
1506495,Mainframe and Information Management Office ,資訊及主機室,,機房設備及維修,,2012-11-26
1506496,Library and Computer Lab,圖書資訊教室,,圖書資料閱覽,,2012-11-26
1506497,Server Room,網管主機室,,機房設備及維修,,2012-11-26
1506498,Art Classroom,美術教室,,教育學習訓練,,2012-11-26
1506499,"1st Grade, Class 1",1年1班,,教育學習訓練,,2012-11-26
1506500,"1st Grade, Class 2",1年2班,,教育學習訓練,,2012-11-26
1506501,"1st Grade, Class 3",1年3班,,教育學習訓練,,2012-11-26
1506502,Physics & Chemistry Lab,理化教室,,教育學習訓練,,2012-11-26
1506503,Physics & Chemistry Equipment Storage,理化實驗器材室,,實驗及研究,,2012-11-26
1506504,Music Classroom,音樂教室,,教育學習訓練,,2012-11-26
1506505,Folk Artifacts Room,鄉土文物室,,教育學習訓練,,2012-11-26
1506506,Native Languages Classroom,鄉土語言教室,,教育學習訓練,,2012-11-26
1506507,Aerobics Classroom,韻律教室,,教育學習訓練,,2012-11-26
1506508,"1st Grade, Class 4",1年4班,,教育學習訓練,,2012-11-26
1506509,"2nd Grade, Class 4",2年4班,,教育學習訓練,,2012-11-26
1506510,"3rd Grade, Class 4",3年4班,,教育學習訓練,,2012-11-26
1506511,Special Education Classroom,特教教室,,教育學習訓練,,2012-11-26
1506512,"2nd Grade, Class 1",2年1班,,教育學習訓練,,2012-11-26
1506513,"2nd Grade, Class 2",2年2班,,教育學習訓練,,2012-11-26
1506514,"2nd Grade, Class 3",2年3班,,教育學習訓練,,2012-11-26
1506515,Language Laboratory,語言教室,,教育學習訓練,,2012-11-26
1506516,Scout Training Area,童軍展望區,,環境空間配置,,2012-11-26
1506517,Electro-optics Exhibition Room,光電展覽室,,實驗及研究,,2012-11-26
1506518,Electro-optics Multimedia Room,光電媒體室,,實驗及研究,,2012-11-26
1506519,Electro-optics Laboratory,光電實驗室,,實驗及研究,,2012-11-26
1506520,Special Education Classroom,資源班教室,,教育學習訓練,,2012-11-26
1506521,Health Clinic,健康中心,,醫療場所,,2012-11-26
1506522,Parent/Teacher Lounge,親師聯誼室,,公用設施,,2012-11-26
1506523,Parents Lounge,家長休息室,,公用設施,,2012-11-26
1506524,Volunteers Lounge,志工休息室,,公用設施,,2012-11-26
1506525,(1F) Library,圖書館1F,,圖書資料閱覽,,2012-11-26
1506526,Activity Center,活動中心,,外部設施及建築,,2012-11-26
1506527,Control Room,控制室,,,,2012-11-26
1506528,Sports Equipment Room,體育器材室,,休閒運動住宿,,2012-11-26
1506529,General Equipment Room,總務工具室,,儲存庫房,,2012-11-26
1506530,Broadcasting Studio,播音室,,,,2012-11-26
1506531,Generators,發電機室,,機房設備及維修,,2012-11-26
1506532,Transformer Room,自設變電室,,機房設備及維修,,2012-11-26
1506533,Service Counter,泳池服務區,,服務諮詢申訴,,2012-11-26
1506534,Duty Room / Reception Room (具接待功能),傳達室,,,,2012-11-26
1506535,Switchboard Room,電信控制室,,機房設備及維修,,2012-11-26
1506536,Control Room,控制室,,機房設備及維修,,2012-11-26
1506537,Lounge  ,休息室,,休閒運動住宿,,2012-11-26
1506538,Men's Changing Room,男更衣室,,休閒運動住宿,,2012-11-26
1506539,Women's Changing Room,女更衣室,,休閒運動住宿,,2012-11-26
1506540,Heating Equipment Room,加熱設備室,,機房設備及維修,,2012-11-26
1506541,Filtration & Sterilization Equipment Room,過濾消毒設備室,,教育學習訓練,,2012-11-26
1506542,(2F) Library,圖書館2F,,圖書資料閱覽,,2012-11-26
1506543,Billiards Room,撞球教室,,公用設施,,2012-11-26
1506544,VIP Billiards Room,撞球VIP教室,,公用設施,,2012-11-26
1506545,Periodicals Room,期刊室,,圖書資料閱覽,,2012-11-26
1506546,Vanilla Cultivation Area,香草栽培區,,環境空間配置,,2012-11-26
1506547,Multimedia Education Center,多功能社區媒體教學中心,,教育學習訓練,,2012-11-26
1506548,Greenhouse,溫室花園,,環境空間配置,,2012-11-26
1506549,Recycling Room,資源回收室,,資源回收,,2012-11-26
1506550,Plant Cultivation Room,植物栽培室,,環境空間配置,,2012-11-26
1506551,Compost Area,落葉堆肥場,,資源回收,,2012-11-26
1506552,Parking Lot (Motorcycles and Bikes),機踏車停車場,,環境空間配置,,2012-11-26
1506553,Lounge,球場休息室,,休閒運動住宿,,2012-11-26
1506554,Parking Lot,停車場,,環境空間配置,,2012-11-26
1506555,Main Entrance,大門入口,,環境空間配置,,2012-11-26
1506556,Delivery Entrance,服務入口,,環境空間配置,,2012-11-26
1506557,Entrance (Community Residents Only),社區入口,,公用設施,,2012-11-26
1506558,Sports Complex Entrance,運動場入口,,休閒運動住宿,,2012-11-26
1506559,Disabled Passengers Only      Press button for assistance.,專用通道       如有需要協助，請使用對講機,,交通運輸站,,2012-11-26
1506560,Please hold handrail or hand grip when train is in motion.,電車起步快，請抓緊扶手以防跌倒,,交通運輸站,,2012-11-26
1506561,IN CASE OF EMERGENCY    Press button.  Listen for instructions.,緊急通話機，緊急時按下呼叫鈕通話,,交通運輸站,,2012-11-26
1506562,Intercom     Press button to speak.,對講機  按下呼叫鈕通話,,交通運輸站,,2012-11-26
1506563,IN CASE OF EMERGENCY:1.Press button.2. Listen for instructions.,緊急逃生步驟：1.按下對講機呼叫鈕  2.我們工作人員將指引你使用此項設備逃生,,交通運輸站,,2012-11-26
1506564,Danger: High Voltage  ,高壓電危險  有電勿靠近,,交通運輸站,,2012-11-26
1506565,Keep Off Tracks,禁止踐踏 ,,交通運輸站,,2012-11-26
1506566,ATTENTION：Please keep your children from playing on the conveyor. ,注意：請勿讓孩童在電走道上嬉戲以維護安全。,,交通運輸站,,2012-11-26
1506567,"Skytrain Service to Terminal 1: 1. From 6:00A.M. to 10:00P.M. , trains operate on both tracks (←→). 2. From 10:00P.M. to 12:00 midnight , trains operate on the left track only (← ). 3. From 12:00 midnight  to 6:00A.M. ,  press button on left (← ) for trai",旅客搭乘電車往第一航廈注意事項：一、尖峰模式(06:00至22:00)左右兩側電車(←→)均可搭乘。二、離峰模式(22:00至24:00)僅左側電車 (← )可搭乘，右側電車停開。三、招呼模式(24:00至06:00)請按左側電車(← )招呼按鈕，電車即可開門服務。四、為維護行車安全，嚴禁行李手推車進入電車內。 五、電車內請勿飲食並請保持車廂內清潔。 六、電車起步較快，搭乘電車時請抓緊扶手，以防跌倒。,,交通運輸站,,2012-11-26
1506568,Stand Clear of Closing Doors,勿阻擋門關閉,,交通運輸站,,2012-11-26
1506569,Emergency Door Release,緊急開門拉桿,,交通運輸站,,2012-11-26
1506570,Do not sit or place objects here.,請勿乘坐或擺放物品,,交通運輸站,,2012-11-26
1506571,Wheelchair Safety Belt  ,輪椅安全帶,,交通運輸站,,2012-11-26
1506572,Mind the Platform Gap,小心月台間隙,,交通運輸站,,2012-11-26
1506573,Please secure your baggage and take it with you when you leave.,請妥置個人行李下車時勿忘攜帶,,交通運輸站,,2012-11-26
1506574,Keep Hands Off Doors.,勿將手指靠近門縫,,交通運輸站,,2012-11-26
1506575,Please watch your head.,小心頭部碰到拉環,,交通運輸站,設置於電車上,2012-11-26
1506576,Please watch your head.,小心碰撞到扶手,,交通運輸站,,2012-11-26
1506577,No Baggage Carts Allowed,禁止手推車進入,,交通運輸站,,2012-11-26
1506578,"From 12:00 midnight to 6:00A.M., press the green button for train service.",夜間叫車服務  請按綠色按鈕!謝謝!,,交通運輸站,,2012-11-26
1506579,For Emergency Use Only,緊急專用,,交通運輸站,,2012-11-26
1506580,Lift cover under seat. Pull handle towards you. Manually open the door.,打開座位下之蓋板並將拉桿朝向自己拉、車門即可以手打開,,交通運輸站,,2012-11-26
1506581,Train Control Center,行車控制中心,,交通運輸站,,2012-11-26
1506582,Please fasten safety belt and secure wheelchair with hook.,輪椅請繫上安全帶並扣上鉤環,,交通運輸站,,2012-11-26
1506583,"For emergencies, press button for assistance.","緊急時,按下呼叫鈕立刻可與工作人員通話",,交通運輸站,,2012-11-26
1506584,Clinic,醫療中心,,交通運輸站,,2012-11-26
1506585,Airport Office,航站辦公室,,交通運輸站,,2012-11-26
1506586,1. Group Departures Waiting Area (沒有隔間的空間) 2. Group Departures Waiting Room   (有隔間的房間),團體旅客候車室,,交通運輸站,,2012-11-26
1506587,Arrival Hall,迎客大廳,,交通運輸站,,2012-11-26
1506588,Shuttle Bus to Terminal 1,往1航廈巴士,,交通運輸站,,2012-11-26
1506589,City Shuttle Bus Boarding Area,機場巴士上車處,,交通運輸站,,2012-11-26
1506590,Tour Bus Boarding Area,團體旅遊上車處,,交通運輸站,,2012-11-26
1506591,Hotel Information,旅館服務台,,交通運輸站,,2012-11-26
1506592,Baggage Service Counter,行李服務台,,交通運輸站,,2012-11-26
1506593,Cellular Phone Services,行動電話聯合服務台,,交通運輸站,,2012-11-26
1506594,Authorized Vehicles Only,往公務停車場專用,,交通運輸站,,2012-11-26
1506595,Check-In Counter,出境報到櫃檯,,交通運輸站,,2012-11-26
1506596,Skytrain to Terminal 1,往第一航廈電車,,交通運輸站,,2012-11-26
1506597,Car Rental,甲種專櫃租賃小客車,,交通運輸站,,2012-11-26
1506598,Oversize Baggage Inspection,超大件行李檢查,,交通運輸站,,2012-11-26
1506599,Visa Counter,簽證櫃台,,交通運輸站,,2012-11-26
1506600,Transfer Counter,轉機櫃台,,交通運輸站,,2012-11-26
1506601,Baggage Claim Information,行李資訊顯示版,,交通運輸站,,2012-11-26
1506602,Customs and Foreign Traveler VAT Refund Service Counter,海關及外籍旅客退稅服務台,,交通運輸站,,2012-11-26
1506603,Temporary Security Pass Issuing Counter,聯合發證台,,交通運輸站,,2012-11-26
1506604,Customs Duty Payments,海關課稅處,,交通運輸站,,2012-11-26
1506605,Departure Hall ,出境大廳,,交通運輸站,,2012-11-26
1506606,Taoyuan International Airport Cargo Administration Zone,桃園國際航空站貨運行政區,,交通運輸站,,2012-11-26
1506607,Express Cargo Zone,快遞貨物專區,,交通運輸站,,2012-11-26
1506608,Import Goods Center,進口倉,,交通運輸站,,2012-11-26
1506609,Export Goods Center,出口倉,,交通運輸站,,2012-11-26
