ID,英文名稱,中文名稱,圖片,學門,更新時間,更新日期
5461797,year class,年級群,,生命科學,,2022-07-15
5461798,yearling,一歲動物,,生命科學,,2022-07-15
5461799,yearling grazing,周年放牧,,生命科學,,2022-07-15
5461800,year-round culture,周年栽培,,生命科學,,2022-07-15
5461801,yeast,酵母[菌]；釀母[菌],,生命科學,,2022-07-15
5461802,yeast artificial chromosome {= YAC},人造酵母菌染色體,,生命科學,,2022-07-15
5461803,yeast autolyzate; yeast lysate,酵母自溶物,,生命科學,,2022-07-15
5461804,yeast centromeric plasmid,酵母中節質體,,生命科學,,2022-07-15
5461806,yeast episomal plasmid,酵母附加型質體,,生命科學,,2022-07-15
5461807,yeast integrative plasmid,酵母整合型質體,,生命科學,,2022-07-15
5461808,yeast lysate; yeast autolyzate,酵母自溶物,,生命科學,,2022-07-15
5461809,yeast one-hybrid system,酵母單雜合蛋白系統,,生命科學,,2022-07-15
5461810,yeast replicating plasmid,酵母複製型質體,,生命科學,,2022-07-15
5461811,yeast starter,酵母菌酛,,生命科學,,2022-07-15
5461812,yeast strain,酵母菌株,,生命科學,,2022-07-15
5461813,yeast two-hybrid system,酵母雙雜合蛋白系統,,生命科學,,2022-07-15
5461814,yellow dextrin,黃糊精,,生命科學,,2022-07-15
5461815,yellow disease,黃萎病,,生命科學,,2022-07-15
5461816,yellow fever,黃熱病,,高中生物,,2022-07-15
5461817,yellow mosaic disease,大麥條紋萎縮病,,生命科學,,2022-07-15
5461818,yellow muscardine,黄僵病,,生命科學,,2022-07-15
5461819,yellow rust,黃銹病,,生命科學,,2022-07-15
5461820,yellow yam,十二月薯,,生命科學,,2022-07-15
5461821,yellow yolk,深色卵黃；深色蛋黃,,生命科學,,2022-07-15
5461822,yellow-brown earth,黃棕壤,,生命科學,,2022-07-15
5461823,yellow-fat disease,黃脂病,,生命科學,,2022-07-15
5461824,yellow-ripe stage; gold-ripe stage,黃熟期,,生命科學,,2022-07-15
5461825,Yersinia pestis,鼠疫桿菌,,生命科學,,2022-07-15
5461826,yield coefficient,產量係數,,生命科學,,2022-07-15
5461827,yield diagram,產量圖,,生命科學,,2022-07-15
5461828,yield table,產量表,,生命科學,,2022-07-15
5461829,yield trial,產量試驗,,生命科學,,2022-07-15
5461830,yield-density effect {= Y-D effect},產量密度效應,,生命科學,,2022-07-15
5461831,Yoda's power law; self-thinning rule,尤德指數法則,,生命科學,,2022-07-15
5461832,yolk,卵黃,,高中生物,,2022-07-15
5461833,yolk index,卵黃指數；蛋黃指數,,生命科學,,2022-07-15
5461834,yolk mottling,卵黃斑紋現象,,生命科學,,2022-07-15
5461835,yolk nucleus; balbiani body,卵黃核,,生命科學,,2022-07-15
5461836,yolk plug,卵黃栓,,大一普生,,2022-07-15
5461837,yolk sac,卵黃囊,,生命科學,,2022-07-15
5461838,young forest,幼齡林,,生命科學,,2022-07-15
5461839,young growth,幼齡林生長,,生命科學,,2022-07-15
5461840,young soil,幼年土壞,,生命科學,,2022-07-15
5461841,young stand,幼齡林分,,生命科學,,2022-07-15
5461842,young tree,幼樹,,生命科學,,2022-07-15
5461843,Yusho disease,多氯聯苯症；油症,,生命科學,,2022-07-15
5461844,Z disc,Z盤,,生命科學,,2022-07-15
5461845,Z line,Z線,,高中生物,,2022-07-15
5461846,Zamia,澤米,,生命科學,,2022-07-15
5461847,Zamia,澤米屬,,生命科學,,2022-07-15
5461848,Zamiaceae,澤米[蘇鐵]科,,生命科學,,2022-07-15
5461849,Zanthoxyleae,花椒族 {芸香科},,生命科學,,2022-07-15
5461850,Z-distribution,Z分布,,生命科學,,2022-07-15
5461851,Z-DNA {Z-form DNA},Z型DNA,,生命科學,,2022-07-15
5461852,Zea mays,玉米；玉蜀黍,,高中生物,,2022-07-15
5461853,zea xanthine,玉米黃素,,高中生物,,2022-07-15
5461854,zea xanthine diglucoside,玉米黃嘌呤二葡糖苷,,生命科學,,2022-07-15
5461855,zearalenone,玉米赤黴烯酮,,生命科學,,2022-07-15
5461856,zeatin,玉米素,,生命科學,,2022-07-15
5461857,zeaxanthin diepoxide,雙環氧化玉米黄素,,生命科學,,2022-07-15
5461858,Zebrafish Information Network {= ZFIN},斑馬魚資訊網,,生命科學,,2022-07-15
5461859,Zeiformes,的鯛目,,生命科學,,2022-07-15
5461860,Zelkova,櫸,,生命科學,,2022-07-15
5461861,Zellweger syndrome; cerebro-hepato-renal syndrome,齊威格[氏]症；腦肝腎症,,生命科學,,2022-07-15
5461862,zenotropism,背地性,,生命科學,,2022-07-15
5461863,zeocin,吉歐黴素,,生命科學,,2022-07-15
5461864,zero mobility position,零移動度位置,,生命科學,,2022-07-15
5461865,zero order kinetics,零級動力學,,生命科學,,2022-07-15
5461866,zero population growth,族群零成長,,生命科學,,2022-07-15
5461867,zero-order rate; zeroth order rate,零級反應速率；零級速率,,生命科學,,2022-07-15
5461868,zero-slope,零斜率,,生命科學,,2022-07-15
5461869,zeroth order rate; zero-order rate,零級反應速率；零級速率,,生命科學,,2022-07-15
5461870,zero-year-old,零歲；未周年 {魚},,生命科學,,2022-07-15
5461871,Zeugloptera,小翅蛾亞目,,生命科學,,2022-07-15
5461872,ZFIN {Zebrafish Information Network},斑馬魚資訊網,,生命科學,,2022-07-15
5461873,Z-form DNA {= Z-DNA},Z型DNA,,生命科學,,2022-07-15
5461874,zinc finger,鋅指,,生命科學,,2022-07-15
5461875,zinc finger motif,鋅指模體,,細胞生物,,2022-07-15
5461876,zinc resinate,樹脂酸鋅,,生命科學,,2022-07-15
5461877,zingerone,薑油酮,,生命科學,,2022-07-15
5461878,Zingiberaceae {ginger family},薑科；蘘荷科,,生命科學,,2022-07-15
5461879,Zingiberales,薑目,,生命科學,,2022-07-15
5461880,zingiberol,薑醇,,生命科學,,2022-07-15
5461881,zipper model,拉鍊模型,,生命科學,,2022-07-15
5461882,Zizipheae,棗族 {鼠李科},,生命科學,,2022-07-15
5461883,zoea,水蚤期,,生命科學,,2022-07-15
5461884,zoidiophilous flower,動物媒花,,生命科學,,2022-07-15
5461885,Zollinger-Ellison syndrome,左林吉[氏]-艾勒森[氏]症,,生命科學,,2022-07-15
5461886,zomotherapy,肉食療法,,生命科學,,2022-07-15
5461887,zona pellucida,透明帶,,生命科學,,2022-07-15
5461888,zona reaction,透明帶反應,,生命科學,,2022-07-15
5461889,zonadhesin,透明帶黏附蛋白,,生命科學,,2022-07-15
5461890,zonal centrifugation,區帶離心,,生命科學,,2022-07-15
5461891,zonal diffusion,帶狀擴散,,生命科學,,2022-07-15
5461892,zonal distribution,帶狀分佈,,生命科學,,2022-07-15
5461893,zonal electrophoresis,區帶電泳,,生命科學,,2022-07-15
5461894,zonal soil,成帶土壤；顯域土,,生命科學,,2022-07-15
5461895,zonal structure,帶狀構造,,生命科學,,2022-07-15
5461896,zonal vegetation,帶狀植被,,生命科學,,2022-07-15
5461897,zonary placenta,環帶胎盤；帶狀胎盤,,生命科學,,2022-07-15
5461898,zonate,帶狀[的],,生命科學,,2022-07-15
5461899,zonation,成帶現象；分區現象,,生命科學,,2022-07-15
5461900,zone of elongation; elongation region,延長區,,高中生物,,2022-07-15
5461901,zone of equivalence,等價帶,,生命科學,,2022-07-15
5461902,zone of maturation; maturation zone,成熟區,,高中生物,,2022-07-15
5461903,zone of polarizing activity,極化活動區,,生命科學,,2022-07-15
5461904,zone phenomenon,帶現象,,生命科學,,2022-07-15
5461905,zoned reserve,區塊保留地,,生命科學,,2022-07-15
5461906,zoning,分帶,,生命科學,,2022-07-15
5461907,zonula adherens; adherens junction,黏著帶,,細胞生物,,2022-07-15
5461908,zoo blot,動物園印漬本,,生命科學,,2022-07-15
5461909,zoo blotting,動物園印漬術,,生命科學,,2022-07-15
5461910,zoobenthos,底棲動物,,生命科學,,2022-07-15
5461911,zoobiocenosis; zoocoenose; zoocoenosis,動物群聚；動物群集,,生命科學,,2022-07-15
5461912,zooblast; animal cell,動物細胞,,生命科學,,2022-07-15
5461913,zoochlorella,動物共生原球藻；動小球藻,,生命科學,,2022-07-15
5461914,zoochoric,靠動物散播的,,生命科學,,2022-07-15
5461915,zoochory,動物散播,,生命科學,,2022-07-15
5461916,zoocoenose; zoobiocenosis；zoocoenosis,動物群聚；動物群集,,生命科學,,2022-07-15
5461917,zoocoenosis; zoobiocenosis；zoocoenose,動物群聚；動物群集,,生命科學,,2022-07-15
5461918,zoogamete,游走配子,,生命科學,,2022-07-15
5461919,zoogenetics,動物遺傳學,,生命科學,,2022-07-15
5461920,zoogenic tissue,動物組織,,生命科學,,2022-07-15
5461921,zoogeographical division,動物地理區劃,,生命科學,,2022-07-15
5461922,zoogeographical region,動物地理區,,生命科學,,2022-07-15
5461923,zoogeography,動物地理學,,生命科學,,2022-07-15
5461924,zooglea {zoogloea},菌膠團,,生命科學,,2022-07-15
5461925,zoogloea {zooglea},菌膠團,,生命科學,,2022-07-15
5461926,zooidogamy,游動精子結合,,植物學,,2022-07-15
5461927,zoology,動物學,,生命科學,,2022-07-15
5461928,zoomaric acid; palmitoleic acid,鯊油酸；棕櫚油酸,,生命科學,,2022-07-15
5461929,Zoomastigophorea,動鞭毛蟲綱,,生命科學,,2022-07-15
5461930,zoometer,動物數計,,生命科學,,2022-07-15
5461931,zoonesis {pl. zoonoses},人畜共通傳染病,,生命科學,,2022-07-15
5461932,zoonoses {sing. zoonesis},人畜共通傳染病,,生命科學,,2022-07-15
5461933,zoonotic pathogen,人畜共通病原體,,生命科學,,2022-07-15
5461934,zoophagan,食肉動物；肉食哺乳類,,生命科學,,2022-07-15
5461935,zoophagous,食動物[的]；肉食性[的],,生命科學,,2022-07-15
5461936,zooplankton,動物性浮游生物,,高中生物,,2022-07-15
5461937,zoosperm,精蟲；精子,,,,2022-07-15
5461938,zoosphere,動物圈,,生命科學,,2022-07-15
5461939,Zoospirochaetaceae,動物螺旋體科,,生命科學,,2022-07-15
5461940,zoosporangium,游走孢子囊,,生命科學,,2022-07-15
5461941,zoospore,游走孢子；游動孢子,,生命科學,,2022-07-15
5461942,zoosterol,動物固醇,,生命科學,,2022-07-15
5461943,zootherapy,動物治療,,生命科學,,2022-07-15
5461944,zootomy,動物解剖,,生命科學,,2022-07-15
5461945,zootoxin,動物毒素,,生命科學,,2022-07-15
5461946,zooxanthellae,蟲黃藻,,生命科學,,2022-07-15
5461947,Zoraptera,缺翅目,,生命科學,,2022-07-15
5461948,zoster,帶狀疱疹,,生命科學,,2022-07-15
5461949,Z-score,Z分數,,生命科學,,2022-07-15
5461950,zwischenferment; glucose-6-phosphate dehydrogenase,葡萄糖-6-磷酸去氫酶,,生命科學,,2022-07-15
5461951,zwitterion pair chromatography; ion-pairing chromatography; ion pair chromatography,兩性離子配對層析；離子配對層析,,生命科學,,2022-07-15
5461952,zygapophysial joint,關節突間關節,,生命科學,,2022-07-15
5461953,Zygentoma,衣魚亞目,,生命科學,,2022-07-15
5461954,zygodactylous foot,對趾足,,生命科學,,2022-07-15
5461955,zygomatic arch,顴弓；顴弧,,生命科學,,2022-07-15
5461956,zygomere,接合粒,,生命科學,,2022-07-15
5461957,zygomorphic,兩側對稱[的],,生命科學,,2022-07-15
5461958,zygomorphic corolla; irregular corolla,兩側對稱花冠；不整齊花冠,,生命科學,,2022-07-15
5461959,zygomorphy; bilateral symmetry,兩側對稱,,生命科學,,2022-07-15
5461960,Zygomycetes,接合菌綱,,高中生物,,2022-07-15
5461961,Zygomycota,接合菌門,,生命科學,,2022-07-15
5461962,zygonema; zygotene,接合絲,,生命科學,,2022-07-15
5461963,Zygonemataceae,接合藻科,,生命科學,,2022-07-15
5461964,Zygonematales,接合藻目,,生命科學,,2022-07-15
5461965,zygo-pachynema,接合粗絲；偶粗線,,生命科學,,2022-07-15
5461966,zygophase,合子期,,生命科學,,2022-07-15
5461967,Zygophyceae; Conjugatae,接合藻綱,,生命科學,,2022-07-15
5461968,Zygophyllaceae {caltrop family},蒺藜科,,生命科學,,2022-07-15
5461969,Zygophyta,接合藻門,,生命科學,,2022-07-15
5461970,Zygoptera,均翅亞目,,生命科學,,2022-07-15
5461971,zygosis,合子形成,,生命科學,,2022-07-15
5461972,zygosity diagnosis,合子型式診斷,,生命科學,,2022-07-15
5461973,zygosome,接合染色體,,生命科學,,2022-07-15
5461974,zygosperm; zygospore,接合孢子,,生命科學,,2022-07-15
5461975,zygosporangium,接合孢子囊,,生命科學,,2022-07-15
5461976,zygospore; zygosperm,接合孢子,,生命科學,,2022-07-15
5461977,zygosporophore,接合孢子柄,,生命科學,,2022-07-15
5461978,zygotaxis,趨接合性,,生命科學,,2022-07-15
5461979,zygote,合子,,<p>高中生物</p>,<p>20231012</p>,2022-07-15
5461980,zygotene stage,接合絲期；偶線期,,生命科學,,2022-07-15
5461981,zygotene; zygonema,接合絲,,生命科學,,2022-07-15
5461982,zygotic meiosis,合子減數分裂,,植物學,,2022-07-15
5461983,zygotically acting gene,合子代理基因,,生命科學,,2022-07-15
5461984,zygotonucleus,合子核,,生命科學,,2022-07-15
5461985,zygozoospore,游走接合孢子,,生命科學,,2022-07-15
5461986,zymogen,酶原,,生命科學,,2022-07-15
5461987,zymogenic,發酵[的]；引起發酵[的]；酶原[的],,生命科學,,2022-07-15
5461988,zymogram,酶譜,,生命科學,,2022-07-15
5461989,zymohexose,可發酵己醣,,生命科學,,2022-07-15
5461990,zymoid; fermentoid,類酶；類酵素,,生命科學,,2022-07-15
5461991,zymolase,消解酶,,生命科學,,2022-07-15
5461992,zymologist,發酵學家,,生命科學,,2022-07-15
5461993,zymology,發酵學,,生命科學,,2022-07-15
5461994,zymolyase; lyticase,酶解酶；溶細胞壁酶,,生命科學,,2022-07-15
5461995,zymolysis,酶解作用,,生命科學,,2022-07-15
5461996,zymophyte,發酵[細]菌,,生命科學,,2022-07-15
5461997,zymosan,酵母聚醣,,生命科學,,2022-07-15
5461998,zymoscope,酵力計,,生命科學,,2022-07-15
5461999,zymose; invertin,轉化酶,,生命科學,,2022-07-15
5462000,zymosterol,酵母固醇,,生命科學,,2022-07-15
5462001,zymotechnic; zymotechnique,發酵技術；釀造技術,,生命科學,,2022-07-15
5462002,zymotechnique; zymotechnic,發酵技術；釀造技術,,生命科學,,2022-07-15
5462003,zymotoxic group; toxophore group,發酵毒簇,,生命科學,,2022-07-15
5462004,zytase,木聚糖酶,,生命科學,,2022-07-15
5462005,α helix {alpha helix},α螺旋；阿法螺旋,,,,2022-07-15
5462006,β turn {beta turn},β轉折；貝他轉折,,細胞生物,,2022-07-15
5462007,β-carotene,β胡蘿蔔素,,生命科學,,2022-07-15
5462008,β-galactosidase,β半乳糖苷酶,,生命科學,,2022-07-15
5462009,β-oxidation {beta oxidation},β氧化作用；貝他氧化作用,,,,2022-07-15
5462010,β-pleated sheet; β-sheet {beta-pleated sheet; beta-sheet},β褶板；貝他褶板,,高中生物,,2022-07-15
5462011,β-sheet; β-pleated sheet {beta-sheet; beta-pleated sheet},β褶板；貝他褶板,,高中生物,,2022-07-15
5462012,γ-aminobutyric acid {= GABA},γ-胺基丁酸,,生命科學,,2022-07-15
5462013,γ-ray {gamma ray},伽馬射線；γ射線,,生命科學,,2022-07-15
12018693,epigenetics,表觀遺傳學,,,,2020-12-28
12981761,teichoic acid,磷壁酸,,,,2021-04-14
12981762,lipoteichoic acid (LTA),脂壁酸,,,,2021-04-14
15254805,clustered regularly interspaced short palindromic repeats {= CRISPR},[規律間隔 ]重複 [短]迴文序列簇,,,,2021-10-15
15254806,CRISPR {clustered regularly interspaced short palindromic repeats},[規律間隔]重複[短]迴文序列簇,,,,2021-10-15
15254807,CRISPR-associated protein {= Cas},重複迴文序列簇相關蛋白,,,,2021-10-15
15254808,Cas {CRISPR-associated protein},重複迴文序列簇相關蛋白,,,,2021-10-15
16428213,basic research,基礎研究,,,,2021-11-18
16428214,translational research,轉用研究,,,,2021-11-18
16428215,clinical research,臨床研究,,,,2021-11-18
16831777,iso-osmotic solution; isosmotic solution,等滲溶液,,,,2021-12-14
17092850,pharming,基改製藥,,,,2021-12-28
17092851,tachykinin peptide; tachykinin,[腸]速縮肽,,,,2021-12-28
17092852,tachykinin; tachykinin peptide,[腸]速縮肽,,,,2021-12-28
17092853,simple squamous epithelium,單層扁平上皮,,,,2021-12-28
17092855,simple columnar epithelium,單層柱狀上皮,,,,2021-12-28
17634053,anisotropic band {= A band},A帶；暗帶,,,,2022-07-15
17634054,acid chyme,酸性食糜,,高中生物,,2022-07-15
17634056,degranulation,去顆粒作用,,高中生物,,2022-07-15
17634057,Graves'  disease,葛瑞夫[氏]病,,高中生物,,2022-07-15
17634058,glucose tolerance test,葡萄糖耐受試驗,,高中生物,,2022-07-15
17634059,pupa,蛹,,高中生物,,2022-07-15
17634060,insulin-like growth factor,似胰島素生長因子,,高中生物,,2022-07-15
17634061,adrenal cortex,腎上腺皮質,,高中生物,,2022-07-15
17634062,adrenal medulla,腎上腺髓質,,高中生物,,2022-07-15
17634063,trypanosomiasis,錐蟲病,,高中生物,,2022-07-15
17634064,antigen fragment,抗原片段,,高中生物,,2022-07-15
17634065,antigen recognition,抗原辨識,,,,2022-07-15
17634066,antihistamine,抗組織胺,,,,2022-07-15
17634067,antivenin; venom antiserum,抗毒液血清,,,20220808修訂,2022-08-08
17634068,antitoxic serum,抗[細菌]毒素血清,,,20220808修訂,2022-08-08
17634069,antimicrobial peptide,抗菌肽,,,,2022-07-15
17634070,arginine  vasopressin {= AVP},精胺酸[血管]加壓素,,高中生物,,2022-07-15
17634071,AVP {Arginine vasopressin},精胺酸[血管]加壓素,,高中生物,,2022-07-15
17634072,ascorbic acid,抗壞血酸,,高中生物,,2022-07-15
17634073,nontropic hormone,非促泌激素,,高中生物,,2022-07-15
17634074,self-fertilization; autogamy; idiogamy,自體受精 {動物}；自花授粉 {植物},,,,2022-07-15
17634075,self-tolerance,自體耐受性,,高中生物,,2022-07-15
17634076,hemocyte,血細胞,,高中生物,,2022-07-15
17634077,opportunistic infection,伺機性感染,,高中生物,,2022-07-15
17634078,basal cover; basal coverage,基蓋度,,生態學,,2022-07-15
17634079,blood platelet,血小板,,,,2022-07-15
17634080,thrombocyte; platelet,血小板,,高中生物,,2022-07-15
17634081,humor; body fluid,體液,,高中生物,,2022-07-15
17634082,bronchi {sing. bronchus},支氣管,,動物生理,,2022-07-15
17634083,Cushing's syndrome,庫興[氏]症,,高中生物,,2022-07-15
17634084,incisor,門牙,,高中生物,,2022-07-15
17634085,canine; canine tooth,犬齒,,高中生物,,2022-07-15
17634086,premolar,前臼齒,,高中生物,,2022-07-15
17634087,molar,臼齒,,高中生物,,2022-07-15
17634088,catecholamine hormone,兒茶酚胺激素,,高中生物,,2022-07-15
17634089,cell-cycle control system,細胞週期調控系統,,<p>細胞生物</p>,,2022-07-15
17634090,cellular automaton {pl. cellular automata},元胞自動機；胞狀自動機 {演算法},,生態學,,2022-07-15
17634091,secretase,分泌酶,,高中生物,,2022-07-15
17634092,cerebral palsy,[大]腦性麻痺,,高中生物,,2022-07-15
17634093,"guanosine 3',5'-cyclic monophosphate; cyclic guanosine monophosphate {= cyclic GMP; cGMP",環鳥[糞][核]苷單磷酸,,細生組,,2022-07-15
17634094,cheliped,螯足,,,,2022-07-15
17634095,chest cavity; thoracic cavity,胸腔,,,,2022-07-15
17634096,thoracic cavity; chest cavity,胸腔,,,,2022-07-15
17634097,chief cell,主細胞,,高中生物,,2022-07-15
17634098,Chondrichthyes,軟骨魚綱,,,,2022-07-15
17634099,cnidoblast; cnidocyte,刺絲胞,,高中生物,,2022-07-15
17634100,Colpoda,腎形蟲屬,,,,2022-07-15
17634101,common blind snake,盲蛇,,,,2022-07-15
17634102,complement protein,補體蛋白,,高中生物,,2022-07-15
17634103,complete protein,完全蛋白質,,高中生物,,2022-07-15
17634104,incomplete protein,不完全蛋白質,,高中生物,,2022-07-15
17634105,anabolic steroid,同化類固醇,,高中生物,,2022-07-15
17634106,crop,嗉囊,,高中生物,,2022-07-15
17634107,coprophagy,食糞性,,高中生物,,2022-07-15
17634108,cryogenic electron microscope {= cryo-electron microscope; cryo-EM},[超]低溫電子顯微鏡,,生命科學,,2022-07-15
17634109,cryo-electron microscope; cryo-EM {cryogenic electron microscope},[超]低溫電子顯微鏡,,生命科學,,2022-07-15
17634110,cryo-EM; cryo-electron microscope {cryogenic electron microscope},[超]低溫電子顯微鏡,,生命科學,,2022-07-15
17634111,cryogenic electron microscopy {= cryo-electron microscopy},[超]低溫電子顯微鏡術,,生命科學,,2022-07-15
17634112,cryo-electron microscopy {cryogenic electron microscopy},[超]低溫電子顯微鏡術,,生命科學,,2022-07-15
17634113,pyrogen,致熱原,,高中生物,,2022-07-15
17634114,DSL{Deep Scattering Layer},深海散射層；深海散亂層,,生態學,,2022-07-15
17634115,elimination,排遺,,,,2022-07-15
17634116,digestive system,消化系統,,高中生物,,2022-07-15
17634117,DO {dissolved oxygen},溶氧；溶氧量,,生態學,,2022-07-15
17634118,multiple sclerosis,多發性硬化症,,高中生物,,2022-07-15
17634119,estradiol,雌二醇,,高中生物,,2022-07-15
17634120,EEZ {Economic Exclusion Zone},專屬經濟水域,,生態學,,2022-07-15
17634121,hyposecretion,分泌不足,,高中生物,,2022-07-15
17634122,hypersecretion,分泌過多,,高中生物,,2022-07-15
17634123,EIA {environmental impact assessment},環境影響評估,,生態學,,2022-07-15
17634124,epidemiology,流行病學,,高中生物,,2022-07-15
17634125,E. coli {Escherichia coli},大腸桿菌,,細生組,,2022-07-15
17634126,essential nutrient,必需營養素；必需養分,,高中生物,,2022-07-15
17634127,EEZ {exclusive economic zone},專屬經濟區,,生態學,,2022-07-15
17634128,feces,糞便,,高中生物,,2022-07-15
17634129,diarrhea,腹瀉,,高中生物,,2022-07-15
17634130,constipation,便祕,,高中生物,,2022-07-15
17634131,prefrontal cortex,前額皮層,,高中生物,,2022-07-15
17634132,mescaline,[南美]仙人掌毒鹼,,高中生物,,2022-07-15
17634133,gap phase {= G phase},間隔期 {細胞週期},,<p>高中生物</p>,,2022-07-15
17634134,G phase {gap phase},間隔期 {細胞週期},,<p>高中生物</p>,,2022-07-15
17634135,resting phase {= G0 phase},靜止期 {細胞週期},,<p>大一普生</p>,,2022-07-15
17634136,first gap phase {= G1 phase},第一間隔期 {細胞週期},,<p>大一普生</p>,,2022-07-15
17634137,second gap phase {= G2 phase},第二間隔期 {細胞週期},,<p>大一普生</p>,,2022-07-15
17634138,gastric acid,胃酸,,高中生物,,2022-07-15
17634139,gastric cecae,胃盲囊,,高中生物,,2022-07-15
17634140,gastric ulcer,胃潰瘍,,高中生物,,2022-07-15
17634141,acid reflux,胃酸逆流,,高中生物,,2022-07-15
17634142,gastrodermis,胃皮層,,高中生物,,2022-07-15
17634143,gizzard,砂囊,,高中生物,,2022-07-15
17634144,gastroesphageal reflux,胃食道逆流,,高中生物,,2022-07-15
17634145,heartburn; pyrosis,胃灼熱,,高中生物,,2022-07-15
17634146,pyrosis; heartburn,胃灼熱,,高中生物,,2022-07-15
17634147,GIS {geographic information system},地理資訊系統,,生態學,,2022-07-15
17634148,GPS {global positioning system },全球定位系統,,生態學,,2022-07-15
17634149,endemic goiter,地域性甲狀腺腫,,高中生物,,2022-07-15
17634150,sex hormone,性激素,,高中生物,,2022-07-15
17634151,flagellin,鞭毛蛋白,,高中生物,,2022-07-15
17634152,guanosine triphosphate {= GTP},鳥[糞][核]苷三磷酸[鹽],,細生組,,2022-07-15
17634153,GTP {guanosine triphosphate},鳥[糞][核]苷三磷酸[鹽],,細生組,,2022-07-15
17634154,Peyer’s patch,派亞[氏]斑,,高中生物,,2022-07-15
17634155,gene rearrangement,基因重排,,高中生物,,2022-07-15
17634156,septic shock,敗血性休克,,高中生物,,2022-07-15
17634157,cold sore,唇疱疹,,高中生物,,2022-07-15
17634158,hemochromatosis,血色素沉著症,,高中生物,,2022-07-15
17634160,hydra,水螅,,高中生物,,2022-07-15
17634161,hydrochloric acid,鹽酸,,高中生物,,2022-07-15
17634162,hypothyroidism,甲狀腺功能低下[症],,高中生物,,2022-07-15
17634163,thyroid hormone,甲狀腺激素,,高中生物,,2022-07-15
17634164,epithalamus,上視丘,,高中生物,,2022-07-15
17634165,hypothalamic hormone,下視丘激素,,高中生物,,2022-07-15
17634166,isotropic band {= I band},I帶；明帶,,,,2022-07-15
17634167,immune rejection,免疫排斥,,高中生物,,2022-07-15
17634168,in situ fertilization,原位受精,,,,2022-07-15
17634169,hepatic portal vein,肝門靜脈,,高中生物,,2022-07-15
17634170,mammary gland,乳腺,,高中生物,,2022-07-15
17634171,inborn immunodeficiency,先天性免疫缺失症,,高中生物,,2022-07-15
17634172,type I diabetes; insulin-dependent diabetes mellitus,第一型糖尿病；胰島素依賴型糖尿病,,高中生物,,2022-07-15
17634173,type II diabetes; non-insulin-dependent diabetes mellitus,第二型糖尿病；非胰島素依賴型糖尿病,,高中生物,,2022-07-15
17634174,IPCC {Intergovemmental Panel on Climate Change},政府間氣候變化專門委員會,,生態學,,2022-07-15
17634175,ICSU {International Council of Scientific Unions},國際科學聯合會理事會,,生態學,,2022-07-15
17634176,International Science Council {= ISC},國際科學理事會,,,,2022-07-15
17634177,ISC { International Science Council },國際科學理事會,,,,2022-07-15
17634178,IUCN {International Union for Conservation of Nature and Natural Resources; World Conservation Union},國際自然保育聯盟,,生態學,,2022-07-15
17634179,Oyashio,親潮,,生態學,,2022-07-15
17634180,leaf area ratio {= LAR},葉面積比,,生態學,,2022-07-15
17634181,LME {large marine ecosystem},大海洋生態系,,生態學,,2022-07-15
17634182,tegmen {pl. tegmina},內種皮 {植物}；薄骨板 {動物},,,,2022-07-15
17634183,tegmina {sing. tegmen },內種皮 {植物}；薄骨板 {動物},,,,2022-07-15
17634184,graft versus host reaction,移植體抗宿主反應,,高中生物,,2022-07-15
17634185,genital herpes,生殖器疱疹,,高中生物,,2022-07-15
17634186,macrosporangia {sing. macrosporangium}; megasporangia,大孢子囊,,植物學,,2022-07-15
17634187,conjugation bridge; mating bridge,接合橋；交配橋 {細菌},,,,2022-07-15
17634188,meiocyte,有性母細胞,,,,2022-07-15
17634189,melanosome,黑色素體,,高中生物,,2022-07-15
17634190,calcium phosphate,磷酸鈣,,高中生物,,2022-07-15
17634191,meiotic spindle,減數分裂紡錘體,,,,2022-07-15
17634192,herpes simplex virus,單純疱疹病毒,,高中生物,,2022-07-15
17634193,monoglyceride,單酸甘油酯,,高中生物,,2022-07-15
17634194,mucous cell,黏液細胞,,高中生物,,2022-07-15
17634195,recombinase,重組酶,,高中生物,,2022-07-15
17634196,nerve cord,神經索,,高中生物,,2022-07-15
17634197,ventral nerve cord,腹神經索,,高中生物,,2022-07-15
17634198,smallpox virus,天花病毒,,高中生物,,2022-07-15
17634199,blister,水疱,,高中生物,,2022-07-15
17634200,cowpox,牛痘,,高中生物,,2022-07-15
17634201,NGO {non-governmental organization},非政府組織,,生態學,,2022-07-15
17634202,nonpermissive temperature; restrictive temperature,非容許溫度,,,,2022-07-15
17634203,cranial nuclei,腦神經核,,,,2022-07-15
17634204,nucleosidase,核苷酶,,高中生物,,2022-07-15
17634205,vitellogenin,卵黄蛋白原,,高中生物,,2022-07-15
17634206,overnourishment; overnutrition,營養過剩,,高中生物,,2022-07-15
17634207,satiety center,飽食中樞,,高中生物,,2022-07-15
17634208,pancreatic duct,胰管,,,,2022-07-15
17634209,pancreatic amylase,胰澱粉酶,,高中生物,,2022-07-15
17634210,immunization,免疫作用,,高中生物,,2022-07-15
17634211,carboxypeptidase,羧肽酶,,高中生物,,2022-07-15
17634212,aminopeptidase,胺肽酶,,高中生物,,2022-07-15
17634213,whooping cough; pertussis,百日咳,,高中生物,,2022-07-15
17634214,prothoracic gland,前胸腺,,高中生物,,2022-07-15
