ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3251109,"Forsyth, Cecil",弗賽斯,,1870-1941,英國,作曲；音樂學,,2017-08-08
3251110,"Fortner, Wolfgang",佛特納,,1907-1987,德國,作曲；指揮,,2017-08-08
3251111,"Fortuna, Marcelo",佛杜納,,1965-,巴西,作曲,,2017-08-08
3251112,"Foss, Lukas",佛斯,,1922-2009,美國,作曲；鋼琴,德裔,2017-08-08
3251113,"Foster, Lawrence","佛斯特,勞倫斯",,1941-,美國,指揮,,2017-08-08
3251114,"Foster, Muriel","佛斯特,莫莉",,1877-1937,英國,聲樂,次女高音,2017-08-08
3251115,"Foster, Stephen Collins","佛斯特,史提芬",,1826-1864,美國,歌謠作曲,,2017-08-08
3251116,"Foulds, John",法爾茲,,1880-1939,英國,作曲；指揮,,2017-08-08
3251117,"Fourestier, Louis",傅雷斯提耶,,1892-1976,法國,指揮；作曲,,2017-08-08
3251118,"Fournet, Jean",傅爾內,,1913-2008,法國,指揮,,2017-08-08
3251119,"Fournier, Pierre",傅尼葉,,1906-1986,法國,大提琴,,2017-08-08
3251120,"Fowler, Tommy",法勒,,1948-,英國（蘇格蘭）,作曲,,2017-08-08
3251121,"Frackenpohl, Arthur",弗雷肯波爾,,1924-,美國,作曲,,2017-08-08
3251122,"Frager, Malcolm",弗雷格,,1935-1991,美國,鋼琴,,2017-08-08
3251123,"Francaix, Jean",弗朗謝,,1912-1997,法國,作曲；鋼琴,,2017-08-08
3251124,"Francescatti, Zino",弗朗切斯卡悌,,1902-1991,法國,小提琴,,2017-08-08
3251125,"Franceschini, Petronio",弗朗切斯基尼,,1651-1680,義大利,作曲,,2017-08-08
3251126,"Franchetti, Alberto",弗朗凱第,,1860-1942,義大利,作曲,,2017-08-08
3251127,"Franchomme, Auguste",弗朗科姆,,1808-1884,法國,大提琴,,2017-08-08
3251128,"Franci, Carlo",弗朗契,,1927-,義大利,指揮；作曲,,2017-08-08
3251129,"Franck, César","法朗克,賽札爾",,1822-1890,比利時,管風琴；作曲,,2017-08-08
3251130,"Franck, Melchior","法朗克,梅爾希爾",,1579-1639,德國,作曲,,2017-08-08
3251131,"Francoeur, François",弗朗科爾,,1698-1787,法國,小提琴；作曲,,2017-08-08
3251132,"François, Samson",弗隆索瓦,,1924-1970,法國,鋼琴,,2017-08-08
3251133,"Frankel, Benjamin",弗朗可,,1906-1973,英國,作曲；指揮,,2017-08-08
3251134,"Frankenstein, Alfred",弗朗肯斯坦,,1906-1981,美國,音樂著作,,2017-08-08
3251135,"Frankl, Peter",弗朗科,,1935-,匈牙利,鋼琴,,2017-08-08
3251136,"Franklin, David",弗朗克林,,1908-1973,美國,聲樂,男低音,2017-08-08
3251137,"Franz, Robert","弗朗茲,羅伯特",,1918-1892,德國,作曲,,2017-08-08
3251138,"Franz, Vladimír","弗朗茲,弗拉迪米爾",,1959-,捷克,作曲,,2017-08-08
3251139,"Fraser-Simson, Harold",弗瑞瑟－辛森,,1878-1944,英國,作曲,,2017-08-08
3251140,"Frazelle, Kenneth",弗瑞澤,,1955-,美國,作曲,,2017-08-08
3251141,"Freccia, Massimo",弗瑞契亞,,1906-2004,義大利,指揮；作曲,,2017-08-08
3251142,"Fredman, Myer",弗瑞德曼,,1932-,英國,指揮,,2017-08-08
3251143,"Fredrics, Howard",弗瑞德利克斯,,1962-,美國,作曲,,2017-08-08
3251144,"Freed, Isadore",弗莉德,,1900-1960,美國,指揮,俄裔,2017-08-08
3251145,"Freedman, Harry",弗雷德曼,,1922-2005,波蘭,作曲,,2017-08-08
3251146,"Freinsberg, Jean Adam(Guillaume)",弗萊茵斯貝爾格,,1702-after 1739,德國,管風琴,,2017-08-08
3251147,"Freitas Branco, Luís de","弗雷達斯‧布朗哥,路易斯",,1890-1955,葡萄牙,作曲,,2017-08-08
3251148,"Freitas Branco, Pedro de","弗雷達斯‧布朗哥,貝德羅",,1896-1962,葡萄牙,指揮；作曲,,2017-08-08
3251149,"Freitas, Frederico",弗雷達斯,,1902-1980,葡萄牙,作曲；指揮,,2017-08-08
3251150,"Frémaux, Louis",弗雷莫,,1921-,法國,指揮,,2017-08-08
3251151,"Fremstad, Olive",弗雷姆絲塔德,,1871-1951,美國,聲樂,瑞典裔女高音,2017-08-08
3251152,"Freni, Mirella",弗蕾妮,,1935-,義大利,聲樂,女高音,2017-08-08
3251153,"Frensel Wegener, Emmy","弗蓮瑟‧維格納,艾美",,1901-1973,荷蘭,作曲,,2017-08-08
3251154,"Frensel Wegener-Koopman, Bertha","弗蓮瑟‧維格納－庫普曼,貝塔",,1874-1953,荷蘭,作曲,,2017-08-08
3251155,"Freschi, Giovanni Domenico",弗雷斯基,,1640-1690,義大利,作曲,,2017-08-08
3251156,"Frescobaldi, Girolamo",弗雷斯科巴第,,1583-1643,義大利,管風琴；作曲,,2017-08-08
3251157,"Fretwell, Elizabeth",弗瑞翠,,1922-2009,澳大利亞,聲樂,女高音,2017-08-08
3251158,"Freund, Marya",弗洛茵特,,1876-1966,波蘭,聲樂,女高音,2017-08-08
3251159,"Frick, Gottlob",弗利克,,1906-1994,德國,聲樂,男低音,2017-08-08
3251160,"Fricker, Peter Racine",弗利可,,1920-1990,英國,作曲,,2017-08-08
3251161,"Fricsay, Ferenc",弗利卻,,1914-1963,匈牙利,指揮,,2017-08-08
3251162,"Frid, Geza","弗利德,蓋札",,1904-1989,荷蘭,作曲；鋼琴家,匈裔,2017-08-08
3251163,"Fried, Oskar",弗利特,,1871-1941,德國,指揮；作曲,,2017-08-08
3251164,"Fried, Philip","弗利德,菲利普",,1955-,美國,作曲,,2017-08-08
3251165,"Friedheim, Arthur",弗利德海姆,,1859-1932,德國,鋼琴,,2017-08-08
3251166,"Friedman, Ignaz",弗利德曼,,1882-1948,波蘭,鋼琴,,2017-08-08
3251167,"Friedrich II, der Grosse (the Great)",弗里德里希二世,,1712-1786,德國,作曲；長笛,,2018-05-31
3251168,"Friend, Rodney",弗蘭德,,1939-,英國,小提琴,,2017-08-08
3251169,"Friml, Rudolf",弗里摩爾,,1879-1972,美國,鋼琴；作曲,捷克裔,2017-08-08
3251170,"Friskin, James",弗利斯金,,1886-1967,英國（蘇格蘭）,鋼琴,,2017-08-08
3251171,"Frith, Fred",弗利斯,,1949-,英國,作曲,,2017-08-08
3251172,"Froberger, Johann Jocub",弗羅貝格爾,,1616-1667,德國,作曲；管風琴,,2017-08-08
3251173,"Froom, David",弗如姆,,1951-,美國,作曲,,2017-08-08
3251174,"Frühbeck de Burgos, Rafael",弗呂貝克德布果斯,,1933-2014,西班牙,指揮,,2017-08-08
3251175,"Frumerie, Gunnar de",富魯梅利,,1908-1987,瑞典,作曲,,2017-08-08
3251176,"Fry, William Henry",弗萊,,1813-1864,美國,作曲,,2017-08-08
3251177,"Frye, Walter",弗萊伊,,14??-1475 (?),英國,作曲,,2017-08-08
3251178,"Fryer, Herbert",弗萊爾,,1877-1957,英國,鋼琴,,2017-08-08
3251179,"Fuchs, Carl","傅克斯,卡爾",,1838-1922,德國,音樂學,,2017-08-08
3251180,"Fuchs, Georg Friedrich","傅克斯,喬治",,1752-1821,法國,作曲,德裔,2017-08-08
3251181,"Fuchs, Johann Nepomuk","傅克斯,約翰",,1842-1899,奧地利,作曲；指揮,,2017-08-08
3251182,"Fuchs, Joseph","傅克斯,約瑟夫",,1900-1997,美國,小提琴,,2017-08-08
3251183,"Fuchs, Peter Paul","傅克斯,彼得",,1916-2007,奧地利,指揮,,2017-08-08
3251184,"Fuchs, Robert","傅克斯,羅伯特",,1847-1927,奧地利,作曲,,2017-08-08
3251185,"Fuchsova, Liza",傅克斯歐娃,,1913-1977,捷克,鋼琴,,2017-08-08
3251186,"Fuenllana, Miguel de",富恩亞納,,1500-1579,西班牙,作曲,,2017-08-08
3251187,"Fujieda, Mamoru",藤枝守,,1955-,日本,作曲,,2017-08-08
3251188,"Fujii, Kazuoki",藤井一興,,1955-,日本,作曲,,2017-08-08
3251189,"Fujita, Masanori",藤田正典,,1946-,日本,作曲,,2017-08-08
3251190,"Fukai, Shiro",深井史郎,,1907-1959,日本,作曲,,2017-08-08
3251191,"Fukushima, Kazuo",福島和夫,,1930-,日本,作曲,,2017-08-08
3251192,"Fuleihan, Anis",傅萊漢,,1900-1970,美國,鋼琴；作曲,,2017-08-08
3251193,"Fuller Maitland, John Alexander",傅勒梅特蘭德,,1856-1936,美國,鋼琴；著作,,2017-08-08
3251194,"Fuller, Donald",傅勒,,1919-,美國,作曲,,2017-08-08
3251195,"Fulton, Norman",傅爾頓,,1910-1980,英國,作曲,,2017-08-08
3251196,"Funk, Eric",范克,,1949-,美國,作曲,,2017-08-08
3251197,"Furer, Arthur",傅爾,,1924-2013,瑞士,作曲,,2017-08-08
3251198,"Furmedge, Edith",傅梅吉,,1898-1956,英國,聲樂,女低音,2017-08-08
3251199,"Furrer, Beat",傅雷爾,,1954-,瑞士,作曲,,2017-08-08
3251200,"Furtwängler, Wilhelm",福特溫格勒,,1886-1954,德國,指揮,,2017-08-08
3251201,"Fux, Johann Joseph",福克司,,1660-1741,奧地利,作曲,,2017-08-08
3251202,"Gablenz, Jerzy",加布連茲,,1888-1937,波蘭,作曲,,2017-08-08
3251203,"Gabriel-Marie, (Gabriel Prosper Marie)",加布里耶爾-馬利,,1852-1928,法國,作曲,,2017-08-08
3251204,"Gabrieli, Andrea","加布里耶利,安德列亞",,1510-1586,義大利,管風琴；作曲,,2017-08-08
3251205,"Gabrieli, Giovanni","加布里耶利,喬望尼",,1557-1612,義大利,管風琴；作曲,,2017-08-08
3251206,"Gabrielli, Domenico","加布里耶利,多門尼可",,1651-1690,義大利,作曲；大提琴,,2017-08-08
3251207,"Gabrilovitsch(Gabrilowotsch), Ossip",加里洛維奇,,1878-1936,俄國,鋼琴；作曲；指揮,,2017-08-08
3251208,"Gade, Niels Vilhelm",加德,,1817-1890,丹麥,作曲；管風琴；小提琴,,2017-08-08
3251209,"Gadsby, Henry Robert",加茲比,,1842-1907,英國,作曲,,2017-08-08
3251210,"Gadski, Johanna",加德絲基,,1872-1932,德國,聲樂,女高音,2017-08-08
3251211,"Gagliano, Marco da",加利亞諾,,1582-1643,義大利,作曲,,2017-08-08
3251212,"Gaito, Constantino",加伊多,,1878-1945,阿根廷,作曲,,2017-08-08
3251213,"Gál, Hans",加爾,,1890-1987,奧地利,音樂學；作曲,,2017-08-08
3251214,"Galindo Dimas, Blas",加林多,,1910-1993,墨西哥,作曲,,2017-08-08
3251215,"Gallagher, Jack",加拉格爾,,1947-,美國,作曲,,2017-08-08
3251216,"Galli-Curci, Amelita",加麗－庫契,,1882-1963,義大利,聲樂,女高音,2017-08-08
3251217,"Galli-Mari , Celestine Laurence",加麗－瑪莉,,1840-1905,法國,聲樂,次女高音,2017-08-08
3251218,"Galliard, John Ernest",加利亞德,,1680-1749,德國,作曲,,2017-08-08
3251219,"Galliera, Alceo",加利耶拉,,1910-1996,義大利,指揮；作曲,,2017-08-08
3251220,"Gallus, Jacobus",加魯斯,,1550-1591,斯洛維尼亞,作曲,,2017-08-08
3251221,"Galuppi, Baldassare",加魯比,,1706-1785,義大利,作曲,,2017-08-08
3251222,"Galvão, Joaquim",加爾旺,,1967-,葡萄牙,作曲,,2017-08-08
3251223,"Galway, James",高威,,1939-,愛爾蘭,長笛,,2017-08-08
3251224,"Galzunov, Alexander",葛拉祖諾夫,,1865-1936,俄國,作曲,,2017-08-08
3251225,"Gandini, Gerardo",甘地尼,,1936-,阿根廷,作曲,,2017-08-08
3251226,"Ganebin, Henri",加內班,,1886-1977,瑞士,作曲,,2017-08-08
3251227,"Gannon, Lee",甘農,,1960-1996,美國,作曲,,2017-08-08
3251228,"Ganz, Rudolf","甘茲,魯道夫",,1877-1972,瑞士,鋼琴；作曲；指揮,,2017-08-08
3251229,"Ganz, Wilhelm","甘茲,威廉",,1833-1914,德國,鋼琴；指揮,,2017-08-08
3251230,"Garaguly, Carl",加拉古利,,1900-1984,瑞典,小提琴；指揮,匈牙利裔,2017-08-08
3251231,"Garaguly, Carl",加拉古利,,1900-1984,匈牙利,指揮；小提琴,,2017-08-08
3251232,"Garant, Serge",加朗,,1929-1986,加拿大,作曲,,2017-08-08
3251233,"García Abril, Antón",加西亞‧阿布利爾,,1933-,西班牙,作曲,,2017-08-08
3251234,"García Acevedo, Mario",加西亞‧阿謝維多,,1926-,阿根廷,作曲,,2017-08-08
3251235,"García Mansilla, Eduardo",加西亞曼西亞,,1870-1930,阿根廷,作曲,,2017-08-08
3251236,"García Morillo, Roberto",加西亞莫里悠,,1911-2003,阿根廷,作曲,,2017-08-08
3251237,"Garcia, José Maurício Nunes","加西亞,荷西",,1767-1830,巴西,作曲,,2017-08-08
3251238,"Garcia, Manuel ( del Popolo Vicente Rodrguez )","加西亞,馬努耶爾",,1775-1832,西班牙,作曲；聲樂,男高音,2017-08-08
3251239,"Garcia, Manuel Patricio Rodriguez","加西亞,馬努耶爾‧帕特里西歐‧羅德里蓋斯",,1835-1906,西班牙,聲樂,男低音,2017-08-08
3251240,"Garcia-Viardot, Pauline",加西亞-維雅朵,,1821-1910,法國,作曲,,2017-08-08
3251241,"Gardella, Tomaso",加爾代拉,,1891-1997,義大利,作曲,,2017-08-08
3251242,"Gardelli, Lamberto",加爾代利,,1915-1998,義大利,指揮；作曲,,2017-08-08
3251243,"Garden, Mary",加登,,1874-1967,英國（蘇格蘭）,聲樂,女高音,2017-08-08
3251244,"Gardiner, Balfour","加迪納,巴福",,1877-1950,英國,作曲,,2017-08-08
3251245,"Gardiner, John Eliot","加迪納,約翰",,1943-,英國,指揮,,2017-08-08
3251246,"Gardner, John Linton",加德納,,1917-2011,英國,作曲；鋼琴,,2017-08-08
3251247,"Gardner, Samuel","加德納,撒姆爾",,1891-1984,美國,小提琴；作曲,,2017-08-08
3251248,"Gardoni, Italo",加爾多尼,,1821-1882,義大利,聲樂,男高音,2017-08-08
3251249,"Gariboldi, Guiseppe",加里玻第,,1833-1905,義大利,作曲,,2017-08-08
3251250,"Garland, Dora",加爾蘭德,,1893-1972,英國,小提琴,,2017-08-08
3251251,"Garner, David",加納,,1956-,美國,作曲,,2017-08-08
3251252,Garrison Mabel,加瑞森,,1886-1963,美國,聲樂,女高音,2017-08-08
3251253,"Gasparini, Francesco",加斯帕利尼,,1668-1727,義大利,作曲,,2017-08-08
3251254,"Gassier, edouard",加謝爾,,1820-1872,古巴,聲樂,男中音,2017-08-08
3251255,"Gassmann, Florian Leopold",加斯曼,,1729-1774,捷克,作曲,,2017-08-08
3251256,"Gastolidini, S",加斯托里地尼,,1861-1939,義大利,作曲,,2017-08-08
3251257,"Gastoué, Amédée",加斯圖耶,,1873-1943,法國,音樂學,,2017-08-08
3251258,"Gatti, Gabriella",加第,,1908-2003,義大利,聲樂,女高音,2017-08-08
3251259,"Gatti-Casazza, Giulio",加第－卡薩札,,1869-1940,義大利,音樂經紀人,,2017-08-08
3251260,"Gatty, Nicholas",蓋提,,1874-1946,英國,作曲,,2017-08-08
3251261,"Gaubert, Philippe",戈貝爾,,1879-1941,法國,指揮；作曲,,2017-08-08
3251262,"Gaul, Alfred",高爾,,1837-1913,英國,作曲,,2017-08-08
3251263,"Gauntlet, Ambrose","岡特雷特,安布羅斯",,1890-1978,英國,大提琴；中提琴,,2017-08-08
3251264,"Gauntlet, Henry John","鞏特立,亨利",,1805-1876,英國,管風琴；作曲,,2017-08-08
3251265,"Gavazzeni, Gianandrea",加瓦策尼,,1909-1996,義大利,作曲；指揮,,2017-08-08
3251266,"Gaveaux, Pierre",加沃,,1760-1825,法國,作曲；聲樂,男高音,2017-08-08
3251267,"Gaviniès, Pierre",加維尼葉斯,,1728-1800,法國,小提琴；作曲,,2017-08-08
3251268,"Gay, John",蓋伊,,1685-1732,英國,劇作,,2017-08-08
3251269,"Gay, Maria",加伊,,1879-1943,西班牙,聲樂,女高音,2017-08-08
3251270,"Gayarre, Julián",加亞瑞,,1844-1890,西班牙,聲樂,男高音,2017-08-08
3251271,"Gazelle, Marcel",加傑爾,,1907-2006,法國,鋼琴,,2017-08-08
3251272,"Gédalge, André",傑達爾吉,,1856-1926,法國,作曲,,2017-08-08
3251273,"Gedda, Nicolai",蓋達,,1925-,瑞典,聲樂,男高音,2017-08-08
3251274,"Geddes, John Maxwell",蓋迪士,,1941-,英國（蘇格蘭）,作曲,,2017-08-08
3251275,"Gedike, Alexander",戈地克,,1877-1957,俄國,作曲,,2017-08-08
3251276,"Gees, Michael",蓋斯,,1953-,德國,作曲,,2017-08-08
3251277,"Geiringer, Karl",蓋林格,,1899-1989,美國,音樂學,奧裔,2017-08-08
3251278,"Gellhorn, Peter",蓋爾霍恩,,1912-2004,德國,指揮；鋼琴；作曲,,2017-08-08
3251279,"Geloen, Ludo",蓋羅恩,,1962-,比利時,作曲,,2017-08-08
3251280,"Gelt, Andrew",傑爾特,,1951-,美國,作曲,,2017-08-08
3251281,"Geminiani, Francesco",傑米尼亞尼,,1687-1762,義大利,小提琴；作曲,,2017-08-08
3251282,"Gemrot, Jiří",傑姆羅特,,1957-,捷克,作曲,,2017-08-08
3251283,"Gendron, Maurice",冉德隆,,1920-1990,法國,大提琴,,2017-08-08
3251284,"Genee, Richard",蓋內,,1823-1895,德國,指揮；作曲,,2017-08-08
3251285,"Genin, Paul Agricole",熱南,,1832-1903,法國,作曲,,2017-08-08
3251286,"Genis, Evren",蓋尼斯,,1978-,土耳其,作曲,,2017-08-08
3251287,"Genzmer, Harald",耿茲莫,,1909-2007,德國,作曲,,2017-08-08
3251288,"Geoffray, César",傑歐弗雷,,1901-1972,法國,作曲,,2017-08-08
3251289,"Geraedts, Jaap",傑萊特,,1924-2003,荷蘭,作曲,,2017-08-08
3251290,"Gerardi, Enrique",黑拉迪,,1926-2014,阿根廷,作曲,,2017-08-08
3251291,"Gerhard, Roberto",黑拉德,,1896-1970,西班牙,作曲,,2017-08-08
3251292,"Gerhardt, Elena",蓋哈特,,1883-1961,德國,聲樂,女高音,2017-08-08
3251293,"Gericke, Wilhelm",蓋利克,,1845-1925,奧地利,指揮,,2017-08-08
3251294,"German, Edward",傑爾曼,,1862-1936,英國,作曲,,2017-08-08
3251295,"Germani, Fernando",傑爾馬尼,,1906-1998,義大利,管風琴,,2017-08-08
3251296,"Gershwin, George",蓋希文,,1898-1937,美國,作曲；鋼琴,,2017-08-08
3251297,"Gerster, Etelka",蓋絲特,,1855-1920,匈牙利,聲樂,女高音,2017-08-08
3251298,"Gertler, Andre",蓋特勒,,1907-1998,匈牙利,小提琴,,2017-08-08
3251299,"Gervaise, Claude",傑爾維茲,,1525-1560,法國,作曲,,2017-08-08
3251300,"Gervasio, Raffaele",傑瓦希歐,,1910-1993,義大利,作曲,,2017-08-08
3251301,"Gervasoni, Stefano",傑瓦索尼,,1962-,義大利,作曲,,2017-08-08
3251302,"Gesualdo, Carlo",傑蘇阿爾多,,1560-1613,義大利,作曲；魯特琴,,2017-08-08
3251303,"Gevaert, François Auguste",傑瓦爾特,,1828-1908,比利時,音樂學；作曲,,2017-08-08
3251304,"Ghadimi, Vincent",加迪米,,1968-,比利時,作曲,,2017-08-08
3251305,"Ghedini, Giorgio",蓋地尼,,1892-1965,義大利,作曲,,2017-08-08
3251306,"Gheyn, Matthias van den",蓋恩,,1721-1785,比利時,管風琴；作曲,,2017-08-08
3251307,"Ghiaurov, Nicolai",紀奧羅夫,,1929-2004,保加利亞,聲樂,男低音,2017-08-08
3251308,"Giacobbe, Juan Francisco",希亞哥貝,,1907-1990,阿根廷,作曲,,2017-08-08
3251309,"Giacomelli, Germiniano",賈可梅利,,1692-1740,義大利,作曲,,2017-08-08
3251310,"Giamalis, Nikolaos",賈馬利斯,,1956-,希臘,作曲,,2017-08-08
3251311,"Gianneo, Luis",希昂內歐,,1897-1968,阿根廷,作曲,,2017-08-08
3251312,"Giannini, Vittorio",姜尼尼,,1903-1966,美國,作曲,,2017-08-08
3251313,"Giardini, Felice de'",賈地尼,,1716-1796,義大利,小提琴；作曲,,2017-08-08
3251314,"Gibbons, Christopher","紀邦斯,克利斯朵夫",,1615-1676,英國,作曲；管風琴,,2017-08-08
3251315,"Gibbons, Orlando","紀邦斯,奧蘭多",,1583-1625,英國,作曲；風琴,,2017-08-08
3251316,"Gibbs, Cecil Armstrong",紀布斯,,1889-1960,英國,作曲,,2017-08-08
3251317,"Gibert, Henry F.",紀伯特,,1868-1928,美國,作曲,,2017-08-08
3251318,"Gibson, Alexander","紀布森,亞力山大",,1926-1995,英國（蘇格蘭）,指揮,,2017-08-08
3251319,"Gibson, George Arfred","紀布森,喬治",,1849-1924,英國,小提琴,,2017-08-08
3251320,"Gibsone, William Ignace","紀布森,威廉",,1826-1897,英國,作曲,,2017-08-08
3251321,"Gielen, Michael",紀倫,,1927-,奧地利,作曲；指揮；鋼琴,,2017-08-08
3251322,"Gieseking, Walter",紀瑟金,,1895-1956,德國,鋼琴,,2017-08-08
3251323,"Gigli, Beniamino","吉利,貝尼亞米諾",,1890-1957,義大利,聲樂,男高音,2017-08-08
3251324,"Gigout, Eugène",吉固,,1844-1925,法國,管風琴；作曲,,2017-08-08
3251325,"Gilardi, Gilardo",希拉迪,,1889-1963,阿根廷,作曲,,2017-08-08
3251326,"Gilbert, Henry F.",紀伯特,,1868-1928,美国,作曲,,2017-08-08
3251327,"Gilels, Emil",吉利爾斯,,1916-1985,俄國,鋼琴,,2017-08-08
3251328,"Gilles, Jean",吉勒,,1668-1705,法國,作曲,,2017-08-08
3251329,"Gillett, Brian P.",吉利特,,1972-,美國,作曲,,2017-08-08
3251330,"Gillis, Don",紀利斯,,1912-1978,美國,作曲,,2017-08-08
3251331,"Gilly, Dinh","吉利,丹",,1877-1940,法國,聲樂,男中音,2017-08-08
3251332,"Gilman, Lawrence",紀爾曼,,1878-1939,美國,樂評,,2017-08-08
3251333,"Gilson, Paul",紀爾頌,,1865-1942,比利時,作曲；著作,,2017-08-08
3251334,"Giltay, Berend",紀爾泰,,1910-1975,荷蘭,作曲,,2017-08-08
3251335,"Gimpel, Bronislav",吉姆佩爾,,1911-1979,美國,小提琴,波蘭裔,2017-08-08
3251336,"Ginastera, Alberto",希納斯特拉,,1916-1983,阿根廷,作曲,,2017-08-08
3251337,"Ginés Pérez (de la Parra), Juan",希內斯貝雷斯,,1548-1600,西班牙,作曲,,2017-08-08
3251338,"Giordani, Giuseppe",喬大尼,,1743-1798,義大利,作曲,,2017-08-08
3251339,"Giordano, Umberto",喬大諾,,1867-1948,義大利,作曲,,2017-08-08
3251340,"Giovannelli, Ruggiero",喬瓦內利,,1560-1625,義大利,作曲,,2017-08-08
3251341,"Gipps, Ruth",紀普絲,,1921-1999,英國,作曲；指揮,,2017-08-08
3251342,"Giuliani, Mauro",朱利亞尼,,1781-1829,義大利,作曲；吉他,,2017-08-08
3251343,"Giulini, Carlo Maria",朱利尼,,1914-2005,義大利,指揮,,2017-08-08
3251344,"Glandien, Lutz",葛蘭地恩,,1954-,德國,作曲,,2017-08-08
3251345,"Glanert, Detlev",葛蘭葉特,,1960-,德國,作曲,,2017-08-08
3251346,"Glanville-Hicks, Peggy",葛蘭維－希克絲,,1912-1990,美國,作曲；樂評,澳裔,2017-08-08
3251347,"Glass, Louis","葛拉斯,路易",,1864-1936,丹麥,作曲,,2017-08-08
3251348,"Glass, Philip","葛拉斯,菲利普",,1937-,美國,作曲,,2017-08-08
3251349,"Glasser, Stanley",葛拉瑟,,1926-,南非,作曲,,2017-08-08
3251350,"Glazunov, Alexander",葛拉祖諾夫,,1865-1936,俄國,作曲,,2017-08-08
3251351,"Glenn, Carroll",格倫,,1918-1983,美國,小提琴,,2017-08-08
3251352,"Glerup, Rune",格利歐,,1981-,丹麥,作曲,,2017-08-08
3251353,"Glesser, Frederic",葛雷瑟,,1956-,美國,作曲,,2017-08-08
3251354,"Glière, Reinhold (Moritzovich)",葛里耶爾,,1875-1956,俄國,作曲,,2017-08-08
3251355,"Glinka, Mikhail (Ivanovich)",葛令卡,,1804-1857,俄國,作曲,,2017-08-08
3251356,"Glise, Anthony",葛利斯,,1956-,美國,作曲；吉他,,2017-08-08
3251357,"Globokar, Vinko",葛洛波卡,,1934-,法國,作曲；長號,,2017-08-08
3251358,"Glock, William",葛洛克,,1908-2000,英國,著作；鋼琴,,2017-08-08
3251359,"Glover, Jane",葛洛芙,,1949-,英國,指揮；音樂學,,2017-08-08
