ID,英文名稱,中文名稱,圖片,中國大陸譯名,作曲家,作曲家臺灣譯名,作曲家中國大陸譯名,臺灣分類,中國大陸分類,更新日期
3539943,"Stone Flower, The",寶石花,,宝石花,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,管絃樂曲,管弦乐曲,2018-05-30
3539944,"Stone Guest, The",石像客,,石客,"Dargomyzhisky, Alexander",達果密吉斯基,达尔戈梅斯基,歌劇,歌剧,2018-05-30
3539945,"Story of a Real Man, The",真正的人,,真正的人,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,歌劇,歌剧,2018-05-30
3539946,Stradella,斯特拉台拉,,斯特拉得拉,"Flotow, Friedrich von",弗洛妥,弗洛托,歌劇,歌剧,2018-05-30
3539947,Suite Bergamasque,貝加瑪斯克組曲,,贝加莫组曲,"Debussy, Claude",德布西,德彪西,鍵盤樂曲,键盘乐曲,2018-05-30
3539948,Summer Night on the River,河上夏夜,,河上夏夜,"Delius, Frederick",戴里厄斯,德留斯,管絃樂曲,管弦乐曲,2018-05-30
3539949,Suor Angelica,安潔莉卡修女,,修女安杰丽卡,"Puccini, Giacomo",浦契尼,普契尼,歌劇,歌剧,2018-05-30
3539950,"Survivor from Warsaw, A",華沙倖存者,,华沙幸存者,"Schönberg(Schoenberg), Arnold",荀貝格,勋伯格,聲樂曲,声乐曲,2018-05-30
3539951,Swan Lake,天鵝湖,,天鹅湖,"Tchaikovsky, Pyotr Il'yich",柴可夫斯基,柴科夫斯基,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539952,"Swan of Tuonela, The",黃泉的天鵝,,图捏拉的天鹅,"Sibelius, Jean",西貝流士,西贝柳斯,管絃樂曲,管弦乐曲,2018-05-30
3539953,"Sylphides, Les",仙女,,仙女们,Chopin/Glazunov,蕭邦/葛拉茲諾夫,肖邦曲福金编舞,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539954,Symphonia Domestica,家庭交響曲,,家庭交响曲,"Strauss, Richard","史特勞斯,理查",斯特劳斯,交響曲,交响曲,2018-05-30
3539955,Symphonic Dances,交響舞曲,,交响舞曲,"Rachmaninoff, Sergey",拉赫瑪尼諾夫,拉赫玛尼诺夫,管絃樂曲,管弦乐曲,2018-05-30
3539956,Symphonie espagnole,西班牙交響曲,,西班牙交响曲,"Lalo, Édouard",拉羅,拉罗,協奏曲,协奏曲,2018-05-30
3539957,Symphonie Fantastique,幻想交響曲,,幻想交响曲,"Berlioz, Hector",白遼士,柏辽兹,交響曲,交响曲,2018-05-30
3539958,Symphonie funèbre et triomphale,葬禮與凱旋交響曲,,葬礼与凯旋交响曲,"Berlioz, Hector",白遼士,柏辽兹,交響曲,交响曲,2018-05-30
3539959,Symphonie sur un chant montagnard français,法國山歌交響曲,,法国山歌交响曲,"D'Indy, Vincent",丹第,丹第,交響曲,交响曲,2018-05-30
3539960,Symphonies of Wind Instruments,木管交響曲,,管乐交响曲,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,交響曲,交响曲,2018-05-30
3539961,Symphony in 3 Movements,三樂章交響曲,,三乐章交响曲,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,交響曲,交响曲,2018-05-30
3539962,Symphony of Psalms,聖經交響曲,,圣诗交响曲,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,交響曲,交响曲,2018-05-30
3539963,Székelyfonó (The Spinning Room),紡織房,,纺织工场,"Kodály, Zoltán",柯大宜,柯达伊,歌劇,歌剧,2018-05-30
3539964,"Tabarro, Il",外套,,外套,"Puccini, Giacomo",浦契尼,普契尼,歌劇,歌剧,2018-05-30
3539965,Tajemstvi,秘密,,秘密,"Smetana, Bedrich",斯梅塔納,斯美塔那,歌劇,歌剧,2018-05-30
3539966,"Tale of Two Cities, A",雙城記,,双城记,Edward Benjamin Britten,班傑明，愛德華,本杰明,歌劇,歌剧,2018-05-30
3539967,Tales from the Vienna Woods,維也納森林的故事,,维也纳森林的故事,"Strauss Jr., Johann(II)","史特勞斯二世,約翰",小约翰·斯特劳斯,管弦樂曲,管弦乐曲,2018-05-30
3539968,"Tales of Hoffmann, The",霍夫曼的故事,,霍夫曼的故事,"Offenbach, Jacques",歐芬巴赫,奥芬巴赫,歌劇,歌剧,2018-05-30
3539969,Tamerlano,塔梅蘭諾,,,"Händel, Georg Friedrich",韓德爾,,歌劇,歌剧,2018-05-30
3539970,"Taming of the Shrew, The",馴悍記,,驯悍记,"Goetz, Hermann",哥茲,格茨,歌劇,歌剧,2018-05-30
3539971,Tancredi,唐克雷第,,唐克列蒂,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539972,Tannhäuser,唐懷瑟,,汤豪塞,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3539973,Tapiola,塔皮奧拉,,塔皮奥拉,"Sibelius, Jean",西貝流士,西贝柳斯,管絃樂曲,管弦乐曲,2018-05-30
3539974,Teseo,提賽歐,,忒西奥,Handel George Friedrich,韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539975,Thais,泰伊絲,,黛伊丝,"Massenet, Jules",馬斯內,马斯内,歌劇,歌剧,2018-05-30
3539976,"Thamos, König in Ägypten",埃及王塔莫斯,,泰莫斯，埃及之王,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539977,The Beggar's Opera,乞丐歌劇,,乞丐歌剧,"Pepusch,Britten, Benjamin",佩普許/布瑞頓,佩布旭/布里顿/,歌劇,歌剧,2018-05-30
3539978,The Consul,領事,,领事,"Menotti, Gian Carlo",梅諾悌,梅诺蒂,歌劇,歌剧,2018-05-30
3539979,The Fairy-Queen,童話女王,,童话女王,"Purcell,  Henry",珀瑟爾,珀塞尔,歌劇,歌剧,2018-05-30
3539980,The kness plays,膝關節劇,,膝关节劇,Robert Wilson,罗伯特·威尔逊,罗伯特·威尔逊,歌劇,歌剧,2018-05-30
3539981,The Last Savage (1963),最後的野人,,最后一个野人,"Menotti, Gian Carlo",梅諾悌,梅诺蒂,歌劇,歌剧,2018-05-30
3539982,the love for three oranges,三個橘子之戀,,三个橘子的爱情,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,歌劇,歌剧,2018-05-30
3539983,The Medium,靈媒,,女巫,"Menotti, Gian Carlo",梅諾悌,梅诺蒂,歌劇,歌剧,2018-05-30
3539984,The Most Important Man (1971),最重要的人,,最重要的人,"Menotti, Gian Carlo",梅諾悌,梅诺蒂,歌劇,歌剧,2018-05-30
3539985,"The Old Maid and the Thief, radio opera (1939)",老處女與小偷,,老处女与小偷,"Menotti, Gian Carlo",梅諾悌,梅诺蒂,歌劇,歌剧,2018-05-30
3539986,The Prodigal Son,浪子,,浪子,"Britten, Benjamin",布瑞頓,布里顿,聲樂曲,声乐曲,2018-05-30
3539987,The Prodigal Son,浪子,,浪子,"Sullivan, Arthur",薩利文,萨利文,聲樂曲,声乐曲,2018-05-30
3539988,the russian easter,俄羅斯復活節序曲,,俄罗斯复活节序曲,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,交響曲,交响曲,2018-05-30
3539989,The Saint of Bleecker Street (1954),布利克街的聖人,,布里克街的圣者,"Menotti, Gian Carlo",梅諾悌,梅诺蒂,歌劇,歌剧,2018-05-30
3539990,The Student Prince,學生王子,,学生王子,"Romborg, Sigmund","隆貝爾格,齊格蒙",隆伯格,歌劇,歌剧,2018-05-30
3539991,The Telephone,電話,,电话,"Menotti, Gian Carlo",梅諾悌,梅诺蒂,歌劇,歌剧,2018-05-30
3539992,Theresienmesse,泰雷莎彌撒曲,,特雷西亚弥撒曲,"Haydn, Franz Joseph",海頓,海顿,聲樂曲,声乐曲,2018-05-30
3539993,Till Eulenspiegel,提爾的惡作劇,,梯尔的恶作剧,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,管弦樂曲,管弦乐曲,2018-05-30
3539994,"Tod Jesu, Der",耶穌之死,,耶稣之死,"Gershwin, George",蓋希文,格劳恩,聲樂曲,声乐曲,2018-05-30
3539995,Tod und Verklärung,死與淨化,,死与净化,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,管弦樂曲,管弦乐曲,2018-05-30
3539996,"Tombeau de Couperin, Le",庫普蘭之墓,,库普兰之墓,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,鍵盤樂曲,键盘乐曲,2018-05-30
3539997,Tosca,托斯卡,,托斯卡,"Puccini, Giacomo",浦契尼,普契尼,歌劇,歌剧,2018-05-30
3539998,Totentanz,死之舞,,死之舞,"Liszt, Franz(Ferenc)",李斯特,李斯特,管絃樂曲,管弦乐曲,2018-05-30
3539999,Tragic Overture,悲劇序曲,,悲剧序曲,"Brahms, Johannes",布拉姆斯,布拉姆斯,管絃樂曲,管弦乐曲,2018-05-30
3540000,Transcendental Studies,超技練習曲,,超级练习曲,"Liszt, Franz(Ferenc)",李斯特,李斯特,鍵盤樂曲,键盘乐曲,2018-05-30
3540001,Trauermusik,葬禮音樂,,葬礼音乐,"Hindemith, Paul",辛德密特,欣德米特,管絃樂曲,管弦乐曲,2018-05-30
3540002,Träumerei,夢幻曲,,梦幻曲,"Schumann, Robert",舒曼,舒曼,鍵盤樂曲,键盘乐曲,2018-05-30
3540003,"Traviata, La",茶花女,,茶花女,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3540004,Trillo del Diavolo,磨管的顫音,,魔鬼的颤音奏鸣曲,"Tartini, Giuseppe",塔悌尼,塔尔蒂尼,器樂曲,器乐曲,2018-05-30
3540005,Tristan,崔斯坦,,特里斯坦,"Henze, Hans Werner",亨采,亨策,管絃樂曲,管弦乐曲,2018-05-30
3540006,Tristan und Isolde,崔斯坦與伊索德,,特里斯坦与伊索尔德,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3540007,"Trittico, Il",三連劇,,三联剧,"Puccini, Giacomo",浦契尼,普契尼,歌劇,歌剧,2018-05-30
3540008,Trouble in Tahiti,大溪地的困厄,,塔希提岛的困厄,"Bernstein, Leonard","伯恩斯坦,雷歐納德",伦纳德·伯恩斯坦,音樂劇,音乐剧,2018-05-30
3540009,"Troyens, Les",特洛伊人,,特洛伊人,"Berlioz, Hector",白遼士,柏辽兹,歌劇,歌剧,2018-05-30
3540010,"Tsar's Bride, The",沙皇的新娘,,沙皇的新娘,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,歌劇,歌剧,2018-05-30
3540011,Turandot,杜蘭朵公主,,图兰朵特,"Puccini, Giacomo",浦契尼,普契尼,歌劇,歌剧,2018-05-30
3540012,Turangalîla-symphonie,圖倫加利拉交響曲,,图伦加利拉交响曲,"Messiaen, Olivier",梅湘,梅西安,交響曲,交响曲,2018-05-30
3540013,"Turco in Italia, Il",義大利的土耳其人,,土耳其人在意大利,"Rossini, Gioachino (Antonio)",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3540014,"Turn of the Screw, The",旋螺絲{碧廬冤孽},,旋螺丝,"Britten, Benjamin",布瑞頓,布里顿,歌劇,歌剧,2018-05-30
3540015,Undine,水妖,,水妖,"Henze, Hans Werner",亨采,亨策,管絃樂曲,管弦乐曲,2018-05-30
3540016,Utrenja,晨禱,,乌特伦尼亚,"Penderecki, Krzysztof",彭德瑞茲基,潘德列茨基,聲樂曲,声乐曲,2018-05-30
3540017,Vakula the Smith,鐵匠瓦庫拉,,铁匠瓦库拉,"Tchaikovsky, Pyotr Il'yich",柴可夫斯基,柴科夫斯基,歌劇,歌剧,2018-05-30
3540018,Valse Triste,悲傷圓舞曲,,悲伤圆舞曲,"Sibelius, Jean",西貝流士,西贝柳斯,管絃樂曲,管弦乐曲,2018-05-30
3540019,Valses Nobles et Sentimentales,高貴傷感的圓舞曲,,高贵而伤感的圆舞曲,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,鍵盤樂曲,键盘乐曲,2018-05-30
3540020,Vanessa,凡妮莎,,伐奈莎,"Barber, Samuel",巴伯,巴伯,歌劇,歌剧,2018-05-30
3540021,Variations on a Rococo Theme,羅可可主題變奏曲,,罗可可主题变奏曲,"Tchaikovsky, Pyotr Il'yich",柴可夫斯基,柴科夫斯基,管弦樂曲,管弦乐曲,2018-05-30
3540022,Variations on a Theme by Haydn,海頓主題變奏曲,,海顿主题变奏曲,"Brahms, Johannes",布拉姆斯,勃拉姆斯,管絃樂曲,管弦乐曲,2018-05-30
3540023,Variations on a theme by Paganini,帕格尼尼主題變奏曲,,帕格尼尼变奏曲,"Brahms, Johannes",布拉姆斯,勃拉姆斯,鍵盤樂曲,键盘乐曲,2018-05-30
3540024,Variations on a Theme of Frank Bridge,布瑞基主題變奏曲,,布里奇主题变奏曲,"Britten, Benjamin",布瑞頓,布里顿,管絃樂曲,管弦乐曲,2018-05-30
3540025,Variations on a Theme of Hindemith,辛德密特主題變奏曲,,欣德米特主题变奏曲,"Walton, William",華爾頓,沃尔顿,管絃樂曲,管弦乐曲,2018-05-30
3540026,"Vêpres siciliennes, Les",西西里晚禱,,西西里晚祷,"Verdi, Giuseppe",威爾第,威尔第,聲樂曲,歌剧,2018-05-30
3540027,Verklärte Nacht,昇華之夜,,净化之夜,"Schönberg(Schoenberg), Arnold",荀貝格,勋伯格,室內樂曲,室内乐曲,2018-05-30
3540028,"Verratene Meer, Das",狂暴的大海,,狂暴的大海,"Henze, Hans Werner",亨采,亨策,歌劇,歌剧,2018-05-30
3540029,"Vestale, La",貞潔的修女,,贞洁的修女,Gaspare Spontini,斯朋悌尼,斯蓬蒂尼,歌劇,歌剧,2018-05-30
3540030,"Vida breve, La",短促的人生,,短暂人生,"Falla, Manuel de",法雅,德-法雅,歌劇,歌剧,2018-05-30
3540031,Vier letzte Lieder,最後四首歌,,最后四首歌,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,聲樂曲,声乐曲,2018-05-30
3540032,"Village Romeo and Juliet, A",羅密歐與茱麗葉之村,,乡村罗密欧与朱丽叶,"Delius, Frederick",戴里厄斯,戴留斯,歌劇,歌剧,2018-05-30
3540033,"Vision of St Augustine, The",聖奧古斯丁的顯聖,,圣奥古斯丁的显圣,"Tippet, Michael",提佩特,蒂皮特,聲樂曲,声乐曲,2018-05-30
3540034,Visions de l’Amen,阿們的幻影,,阿门幻象,"Messiaen, Olivier",梅湘,梅西安,管絃樂曲,管弦乐曲,2018-05-30
3540035,Vltava,沃爾塔瓦,,沃尔塔瓦,"Smetana, Bedrich",斯梅塔納,斯美塔那,管絃樂曲,管弦乐曲,2018-05-30
3540036,Voces Intimae,親切的聲音,,友情之声,"Sibelius, Jean",西貝流士,西贝柳斯,室內樂曲,室内乐曲,2018-05-30
3540037,"Výlety páně Broučkovy, ""The Excursions of Mr. Broucek"",",布魯切克先生歷險記,,布鲁切克先生的远征,"Janáček, Leoš",雅納捷克,亚纳切克,歌劇,歌剧,2018-05-30
3540038,Waldszenen,森林情景,,森林之景,"Schumann, Robert",舒曼,舒曼,鍵盤樂曲,键盘乐曲,2018-05-30
3540039,"Walküre, Die",女武神,,女武神,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3540040,"Wand of Youth, The",少年的魔杖,,少年的魔杖,"Elgar, Edward",艾爾加,埃尔加,管絃樂曲,管弦乐曲,2018-05-30
3540041,"Wandering Scholar, The",流浪學者,,流浪学者,"Horst, Louis",霍斯特,霍尔斯特,聲樂曲,声乐曲,2018-05-30
3540042,War and Peace,戰爭與和平,,战争与和平,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,歌劇,歌剧,2018-05-30
3540043,War Requiem,戰爭安魂曲,,战争安魂曲,"Britten, Benjamin",布瑞頓,布里顿,聲樂曲,声乐曲,2018-05-30
3540044,"Wasps, The",大黃蜂,,大黄蜂,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,管弦樂曲,管弦乐曲,2018-05-30
3540045,Water Music,水上音樂,,水上音乐,Handel George Friedrich,韓德爾,亨德尔,器樂曲,器乐曲,2018-05-30
3540046,Weihnachts-Oratorium,聖誕神劇,,圣诞节清唱剧,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),聲樂曲,声乐曲,2018-05-30
3540047,Wellington's Victory,威靈頓的勝利,,威灵顿的胜利,"Beethoven, Ludwig van",貝多芬,贝多芬,管絃樂曲,管弦乐曲,2018-05-30
3540048,Werther,維特,,维特,"Massenet, Jules",馬斯內,马斯内,歌劇,歌剧,2018-05-30
3540049,"Wesendonck Songs, 5",威森東克5首歌,,韦森东克歌曲5首,"Wagner, Richard","華格納,理查",瓦格纳,聲樂曲,声乐曲,2018-05-30
3540050,West Side Story,西城故事,,西区故事,"Bernstein, Leonard","伯恩斯坦,雷歐納德",莱昂纳德·伯恩斯坦,音樂劇,音乐剧,2018-05-30
3540051,Wiener Blut,維也納氣質,,维也纳气质,"Strauss Sr., Johann(I)","史特勞斯一世,約翰",老约翰·施特劳斯,歌劇,歌剧,2018-05-30
3540052,Winterreise,冬之旅,,冬之旅,"Schubert, Franz",舒伯特,舒伯特,聲樂曲,声乐曲,2022-07-15
3540053,"Wohltemperierte Klavier, Das",平均律鍵盤曲集,,平均律键盘曲集,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),鍵盤樂曲,键盘乐曲,2018-05-30
3540054,Wozzeck,伍采克,,沃采克,"Berg, Alban",貝爾格,贝尔格,歌劇,歌剧,2018-05-30
3540055,"Yeomen of the Guard, The",衛隊侍從,,卫队侍从,"Sullivan, Arthur",薩利文,萨利文,歌劇,歌剧,2018-05-30
3540056,Yevgeny Onyegin,尤金˙奧涅金,,叶甫盖尼·奥涅金,"Tchaikovsky, Pyotr Il'yich",柴可夫斯基,柴科夫斯基,歌劇,歌剧,2018-05-30
3540057,Yolanta,約蘭塔,,约兰塔,"Tchaikovsky, Pyotr Il'yich",柴可夫斯基,柴科夫斯基,歌劇,歌剧,2018-05-30
3540058,Young Persons Guide to the Orchestra,青少年管絃樂入門,,青少年管弦乐队指南——普塞尔主题变奏曲与赋格,"Britten, Benjamin",布瑞頓,布里顿,管絃樂曲,管弦乐曲,2018-05-30
3540059,Zaira,柴菈,,采拉,"Bellini, Vincenzo",貝利尼,贝里尼,歌劇,歌剧,2018-05-30
3540060,"Zauberflöte, Die",魔笛,,魔笛,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3540061,Zazà,札札,,歌星札札,"Leoncavallo, Ruggiero",雷昂卡發洛,莱翁卡瓦洛,歌劇,歌剧,2018-05-30
3540062,Zelmira,柴米拉,,采尔米拉,"Rossini, Gioacchino",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3540063,"Zigeunerbaron, Der",吉卜赛男爵,,吉卜赛男爵,"Strauss Jr., Johann(II)","史特勞斯二世,約翰",小约翰·施特劳斯,歌劇,歌剧,2018-05-30
3540064,Zigeunerlieder,吉普賽之歌,,吉卜赛歌曲,"Brahms, Johannes",布拉姆斯,布拉姆斯,聲樂曲,声乐曲,2018-05-30
3540065,Zlonicke Zvony,茲羅尼茲科,,兹罗尼茨基钟声,"Dvořák, Antonín",德沃札克,德沃夏克,交響曲,交响曲,2018-05-30
3540066,Zmého života,我的生活,,我的生活,"Smetana, Bedrich",斯梅塔納,斯美塔那,室內樂曲,室内乐曲,2018-05-30
3540067,"Zwerg, Der",侏儒,,侏儒,"Schubert, Franz",舒伯特,舒伯特,聲樂曲,声乐曲,2018-05-30
